crate, num_effects, total, loc_lb, loc_ub, macros, loc_lb, loc_ub, conditional_code, loc_lb, loc_ub, skipped_calls, loc_lb, loc_ub, skipped_fn_ptrs, loc_lb, loc_ub, skipped_other, loc_lb, loc_ub, unsafe_trait, loc_lb, loc_ub, unsafe_impl, loc_lb, loc_ub, pub_fns, pub_fns_with_effects, pub_total_effects, audited_fns, audited_loc
cargo-platform, 0, 3, 529, 529, 17, 19, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0
cargo_metadata, 23, 5, 1284, 1284, 5, 6, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 26, 2, 40, 3, 68
cexpr, 2, 4, 1132, 1132, 17, 39, 53, 0, 0, 0, 21, 205, 208, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 10, 0, 0, 2, 8
cfg_aliases, 0, 1, 371, 371, 1, 247, 247, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
chrono, 68, 40, 25192, 25192, 579, 686, 1122, 52, 4747, 4747, 0, 0, 0, 0, 0, 0, 96, 22, 105, 0, 0, 0, 2, 0, 2, 299, 61, 1162, 215, 1765
chunky-vec, 3, 1, 342, 342, 2, 0, 2, 1, 35, 35, 0, 0, 0, 0, 0, 0, 9, 0, 9, 0, 0, 0, 0, 0, 0, 14, 3, 7, 3, 17
clang-sys, 21, 3, 2834, 2834, 120, 2026, 2086, 1, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 21, 8, 135
clap, 0, 20, 1292, 1292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
clap_derive, 9, 16, 3999, 3999, 257, 928, 1042, 2, 9, 9, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 73, 22, 96, 31, 2202
clap_lex, 29, 2, 820, 820, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 27, 16, 43, 36, 169
codespan-reporting, 4, 7, 2592, 2592, 64, 11, 73, 2, 51, 51, 0, 0, 0, 0, 0, 0, 11, 11, 18, 0, 0, 0, 0, 0, 0, 43, 3, 6, 6, 751
cookie, 1, 12, 4349, 4349, 23, 45, 62, 8, 807, 807, 0, 0, 0, 0, 0, 0, 6, 0, 6, 0, 0, 0, 0, 0, 0, 92, 2, 2, 6, 149
copyless, 8, 3, 145, 145, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 8, 8, 50
core-foundation, 272, 21, 3428, 3428, 94, 253, 324, 21, 763, 763, 0, 0, 0, 0, 0, 0, 9, 1, 9, 4, 0, 4, 12, 0, 12, 137, 134, 289, 183, 1029
core-foundation-sys, 254, 21, 1499, 1499, 0, 0, 0, 2, 23, 23, 0, 0, 0, 0, 0, 0, 52, 2, 53, 0, 0, 0, 0, 0, 0, 255, 254, 254, 254, 107
core-graphics, 379, 17, 3425, 3426, 40, 112, 136, 10, 62, 62, 2, 0, 2, 0, 0, 0, 126, 119, 194, 0, 0, 0, 2, 0, 2, 253, 246, 376, 253, 1106
core-graphics-types, 16, 3, 207, 207, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 16, 24, 16, 41
core-text, 181, 10, 1766, 1766, 69, 14, 76, 4, 36, 36, 0, 0, 0, 0, 0, 0, 49, 0, 49, 0, 0, 0, 4, 0, 4, 101, 99, 230, 113, 724
coreaudio-sys, 0, 1, 5, 5, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
coremidi, 114, 15, 3393, 3393, 22, 12, 31, 5, 755, 755, 4, 0, 4, 0, 0, 0, 28, 4, 29, 0, 0, 0, 0, 0, 0, 102, 43, 180, 83, 688
