crate, effects
web-sys, 7430
winapi, 6529
libc, 5953
winit, 2288
tokio, 2004
sysinfo, 1878
openssl, 1444
blake3, 1192
git2, 1069
security-framework, 890
memchr, 874
schannel, 773
js-sys, 736
blake2b_simd, 730
openssl-sys, 720
libgit2-sys, 661
nalgebra, 625
rocksdb, 570
bitvec, 549
rusqlite, 545
nix, 541
socket2, 536
zstd-sys, 522
hashbrown, 481
mio, 479
poly1305, 467
curve25519-dalek, 403
ndarray, 383
core-graphics, 379
cc, 345
aes, 342
aho-corasick, 336
parking_lot_core, 311
heapless, 305
image, 302
vsdbsled, 300
async-std, 297
wasi, 294
ipconfig, 292
brotli, 291
chacha20, 279
erased-serde, 277
core-foundation, 272
redox_syscall, 269
bumpalo, 264
backtrace, 257
core-foundation-sys, 254
ppv-lite86, 253
sized-chunks, 250
diesel, 247
miow, 235
tar, 234
gcc, 225
fs_extra, 214
hashlink, 206
encoding_rs, 205
lock_api, 195
notify, 189
trybuild, 189
procfs, 187
ryu, 186
objc, 186
futures-util, 182
rustyline, 179
tendril, 177
matrixmultiply, 173
trust-dns-proto, 167
ignore, 167
criterion, 166
cmake, 166
compiler_builtins, 164
rayon-core, 161
jni, 157
reqwest, 156
ureq, 152
polling, 149
bytecount, 149
libnghttp2-sys, 149
cbindgen, 145
vsdb, 144
fuchsia-zircon-sys, 143
bytes, 141
tonic, 141
json, 140
tempfile, 139
console, 138
tokio-sync, 137
insta, 133
hyper, 130
tokio-executor, 129
widestring, 128
getrandom, 127
httparse, 123
curl, 123
xdg, 122
secp256k1, 121
crossbeam-epoch, 119
linked-hash-map, 117
net2, 116
xattr, 115
camino, 115
brotli-decompressor, 115
rust-crypto, 115
tokio-postgres, 115
crossbeam-deque, 114
zip, 114
vcpkg, 113
jobserver, 112
lalrpop, 112
smallvec, 111
ring, 111
vergen, 109
futures-intrusive, 109
arrayvec, 107
libloading, 107
async-task, 107
tokio-fs, 107
opener, 107
serde_yaml, 106
tera, 106
multipart, 105
crossterm, 105
security-framework-sys, 104
openssl-src, 104
filetime, 103
term, 103
libssh2-sys, 103
directories, 103
tokio-core, 103
winreg, 102
lru, 102
wasm-bindgen, 101
flate2, 100
crossbeam-channel, 98
bson, 97
dashmap, 96
memmap2, 96
stdweb, 96
rusoto_s3, 96
duct, 95
nom, 94
bstr, 94
x11-dl, 94
fsevent-sys, 94
generic-array, 93
standback, 93
byteorder, 92
seahash, 92
serde_json, 91
polyval, 87
tiff, 87
whoami, 86
gimli, 85
zstd-safe, 85
warp, 84
proptest, 83
pyo3-build-config, 83
ron, 83
rio, 83
bytemuck, 82
sha2, 81
actix-http, 81
crc32fast, 80
sharded-slab, 79
mio-named-pipes, 78
anyhow, 77
tokio-current-thread, 76
secp256k1-sys, 76
priority-queue, 76
dtoa, 75
memmap, 75
thrift, 75
snap, 74
tokio-util, 73
fuchsia-zircon, 72
region, 72
sqlx-core, 72
hermit-abi, 71
tracing-subscriber, 70
mach, 70
redis, 70
users, 69
chrono, 68
async-compression, 68
eyre, 68
fs2, 67
spin, 65
winapi-util, 65
mio-uds, 65
buf_redux, 64
prost-build, 63
tower-http, 63
bitmaps, 61
bindgen, 60
ascii, 60
xz2, 60
h2, 58
half, 58
os_info, 58
regalloc, 58
lz4, 58
rustls, 57
signal-hook, 57
os_pipe, 57
assert_cmd, 57
http-types, 57
bzip2, 55
walkdir, 54
once_cell, 53
async-io, 53
lzma-sys, 52
regex-automata, 51
parking_lot, 50
num-format, 50
which, 49
zstd, 49
minimal-lexical, 49
rusoto_credential, 49
concurrent-queue, 48
indexmap, 47
glob, 47
ctrlc, 47
state, 47
smithay-client-toolkit, 47
pkg-config, 45
pyo3-macros-backend, 45
actix-server, 45
ttf-parser, 45
curl-sys, 44
inotify, 44
handlebars, 44
termion, 44
http, 43
crossbeam-queue, 43
petgraph, 43
slog-term, 43
time, 42
semver, 42
thread_local, 42
arc-swap, 42
html5ever, 42
async-process, 42
snafu-derive, 42
tokio-tcp, 41
typed-arena, 41
autocfg, 40
toml, 40
remove_dir_all, 40
native-tls, 40
funty, 40
futures-lite, 40
tokio-threadpool, 39
errno, 39
postgres-protocol, 39
prettytable-rs, 38
dialoguer, 38
combine, 37
wait-timeout, 37
config, 37
rusty-fork, 37
object, 36
tokio-rustls, 36
xml-rs, 36
tungstenite, 36
os_str_bytes, 35
derivative, 35
headers, 34
actix-web, 34
brotli2, 34
