crate, effects
arrow2, 870
gmp-mpfr-sys, 867
nrf52840-pac, 849
direct2d, 840
bevy_mikktspace, 835
ncurses, 827
capnp, 823
safe_arch, 823
python27-sys, 822
atsamd-hal, 802
schannel, 773
tauri-cli, 773
blake2b-ref, 769
gstreamer-audio, 767
stm32h7xx-hal, 760
rlua, 739
intrusive-collections, 737
js-sys, 736
blake2b_simd, 730
gdal, 730
blake2s_simd, 723
atk, 723
openssl-sys, 720
nrf52832-pac, 715
openxr, 712
uefi, 711
gleam, 710
libpulse-binding, 709
triple_accel, 708
maturin, 703
dropbox-sdk, 702
libgit2-sys, 700
aws-sdk-sesv2, 691
aws-sdk-lambda, 687
lofty, 686
bevy_ecs, 679
z3-sys, 672
pdcurses-sys, 669
gdk-sys, 665
discord-cassandra-cpp, 664
alpm, 660
crypto2, 658
v_htmlescape, 654
imgui, 654
gsk4, 646
sapp-windows, 645
libsodium-sys-stable, 644
drm-sys, 642
abi_stable, 629
nalgebra, 625
esp-idf-svc, 625
tensorflow, 622
v_jsonescape, 622
cassandra-cpp-sys, 620
nu-command, 611
mbedtls, 605
wasmtime-runtime, 604
opendal, 604
libsodium-sys, 603
broot, 602
cassandra, 594
libadwaita-sys, 590
rust_sodium-sys, 588
graphene-rs, 587
cassandra-cpp, 583
rkyv, 579
gpgme, 575
rocksdb, 570
fuse-backend-rs, 570
lpsolve-sys, 569
arrayfire, 567
perf-event-open-sys, 566
aws-sdk-kms, 560
cairo-rs, 555
pijul, 554
bitvec, 549
nvml-wrapper-sys, 548
rusqlite, 545
gfx-backend-dx11, 545
oracle, 544
ndk, 543
dlmalloc, 542
cross, 542
nettle, 542
nix, 541
tcod-sys, 540
alsa, 538
netstat2, 533
z3, 532
ethers-solc, 532
zstd-sys, 522
sapp-darwin, 511
aws-sdk-s3, 507
dinghy-lib, 507
rp2040-hal, 506
fermium, 505
compiletest_rs, 504
ocl-core, 503
atsamd21g, 500
tract-linalg, 499
zellij-server, 498
gdk4-sys, 497
ckb-rocksdb, 497
laz, 497
hdf5-sys, 496
fmod, 494
iced-x86, 493
aws-sdk-dynamodb, 492
neptune-triton, 490
sourceview5-sys, 488
ramp, 485
pyoxidizer, 483
hashbrown, 481
cargo-tarpaulin, 478
cpal, 476
rdkafka-sys, 473
xcb-util, 472
cryptoxide, 471
fil-ocl-core, 471
cgroups-rs, 469
poly1305, 467
starship, 467
topgrade, 464
tract-core, 462
stm32f4xx-hal, 460
gstreamer-gl, 458
mio, 456
rusoto_ec2, 454
staticvec, 452
csfml-graphics-sys, 452
offscreen_gl_context, 441
sparkle, 441
webkit2gtk-sys, 439
libsystemd-sys, 439
redbpf, 439
ocl, 436
google-analytics3, 433
wgpu-core, 432
google-content2, 432
neon, 430
cpython, 428
alpm-sys, 428
fil-ocl, 427
scryer-prolog, 427
napi, 426
xplr, 425
dxgi, 423
rust-htslib, 417
concread, 415
cargo-wix, 415
rustdct, 414
rutie, 413
aws-sdk-cloudwatchlogs, 409
sel4-sys, 409
rp2040-pac, 406
aws-sdk-cloudformation, 405
ra_ap_ide_assists, 405
aws-sdk-eventbridge, 405
sgx_urts, 404
curve25519-dalek, 403
curve25519-dalek-ng, 403
curve25519-dalek-fiat, 403
gobject-2-0-sys, 401
graphene-sys, 401
netcdf-sys, 399
pango-sys, 396
rust-webvr, 395
highway, 393
corosensei, 392
gfx-backend-dx12, 391
gluon_vm, 391
cargo-pgx, 389
mallumo-gls, 389
gobject-sys, 385
embuild, 385
ndarray, 383
interprocess, 383
fruity__bbqsrc, 383
fruity, 383
google-gmail1, 383
routinator, 382
markdown, 380
nng-sys, 380
core-graphics, 379
xcb-imdkit, 379
aws-sdk-autoscaling, 378
ion-shell, 378
may, 376
gdnative-core, 375
allegro-sys, 373
rdkafka, 371
glfw, 371
piet-direct2d, 369
google-youtube3, 368
shadowsocks, 366
gfx-backend-gl, 365
libpulse-sys, 365
vapoursynth, 364
gfx-backend-vulkan, 363
libarchive3-sys, 363
polars-ops, 363
mdbook, 362
lab, 361
tauri-bundler, 361
gstreamer-rtsp-server-sys, 361
wasmer-vm, 357
etherparse, 356
clang, 351
cargo-web, 351
oboe-sys, 348
cc, 345
zellij-utils, 344
google-admin1_directory, 343
aes, 342
alacritty, 341
csound, 340
aho-corasick, 336
remoteprocess, 336
yarte_helpers, 336
solana-validator, 336
netcdf, 334
libpijul, 333
aws-sdk-eks, 333
gstreamer-base-sys, 332
libhandy-sys, 332
minifb, 330
sapp-wasm, 330
exonum_librocksdb-sys, 330
gstreamer-video-sys, 329
cairo-sys-rs, 328
wrangler, 328
libbpf-rs, 325
wasmer-vm-near, 325
esp-idf-hal, 325
spirv_cross, 324
exonum_libsodium-sys, 323
google-drive2, 323
gdk-pixbuf, 322
lcms2-sys, 321
luminance-gl, 321
cuda-driver-sys, 319
wasmtime, 317
gstreamer-player, 317
cargo-deb, 316
cicada, 315
grcov, 312
lockfree, 312
parking_lot_core, 311
gstreamer-gl-sys, 311
mozjs, 311
gstreamer-pbutils, 309
allegro, 309
dwrote, 308
fallible_collections, 308
kvm-bindings, 306
heapless, 305
cap-primitives, 304
deploy, 304
image, 302
zeroconf, 302
gstreamer-rtp, 302
vsdbsled, 300
gtk-source-sys, 300
wasmer, 299
gstreamer-app, 299
systemstat, 298
soup2-sys, 298
async-std, 297
wasmer-runtime-core-near, 297
soup-sys, 297
ostree-sys, 296
frida-gum, 296
bevy-glsl-to-spirv, 295
wasi, 294
ndk-build, 294
ocaml, 293
ipconfig, 292
brotli, 291
vpncloud, 291
windows-service, 290
zcash_primitives, 290
notmuch, 289
nats, 288
shadowsocks-service, 288
slice-deque, 287
gfx_device_dx11, 287
wasmer-singlepass-backend-near, 286
wasmer-singlepass-backend, 286
elrond-wasm-node, 286
atk-sys, 285
gfx_device_gl, 285
harfbuzz-sys, 284
rust-lzo, 284
ryu-ecmascript, 283
libmacchina, 283
sdl2_gfx, 283
evcxr, 280
chacha20, 279
domain, 279
decnumber-sys, 279
nuclei, 278
cargo-bpf, 278
erased-serde, 277
pipewire, 277
sapp-ios, 277
blurdroid, 275
core-foundation, 272
just, 271
aws-sdk-kinesis, 271
hyperscan, 271
redox_syscall, 269
llvm-alt, 269
grpcio, 268
gstreamer-webrtc, 267
pagecache, 267
couchbase, 266
tun, 265
bumpalo, 264
rpki, 264
wasmer-compiler-singlepass-near, 263
autocxx-bindgen, 263
bindgen, 262
s2n-tls-sys, 261
ijson, 259
advent-of-code, 258
rua, 258
backtrace, 257
tensorflow-sys, 257
fastly, 257
ra_ap_rust-analyzer, 257
flexi_logger, 256
solana-runtime, 256
trash, 256
lcms2, 256
authenticator, 255
rfd, 255
google-androidpublisher2, 255
core-foundation-sys, 254
tcod, 254
bswap, 254
ppv-lite86, 253
git-repository, 253
google-storage1, 252
tch, 252
selinux, 251
sized-chunks, 250
blst, 250
arrow-format, 250
gpt, 250
aws-sdk-cloudwatch, 250
diesel, 247
ryu-js, 246
google-pubsub1, 246
gvr-sys, 245
bottom, 245
libpng-sys, 245
cap-std, 244
rust-sqlite, 244
android_injected_glue, 244
websocat, 244
google-androidenterprise1, 244
pnet_datalink, 241
sqlite3-sys, 241
wasm-pack, 240
gstreamer-audio-sys, 240
cuda-runtime-sys, 240
xkbcommon, 237
uucore, 237
socket2, 235
miow, 235
fastobo, 235
tar, 234
pelite, 234
google-sqladmin1_beta4, 234
iobuf, 233
mysqlclient-sys, 232
tantivy, 232
scaleway_api_rs, 232
bat, 231
sailfish, 231
scrap, 231
terminus-store, 231
pcre2-sys, 230
sliceslice, 230
quiche, 230
input, 230
jq-sys, 228
cl3, 227
wasmer-wasi, 226
cargo-options, 226
gcc, 225
cargo-generate, 225
gilrs-core, 224
opencv, 224
gsk4-sys, 223
jack, 223
libparted, 223
cargo-make, 222
iref, 222
radix64, 221
hdf5, 220
racer, 219
cargo-update, 218
iced_glow, 218
hecs, 217
google-drive3, 217
wasmer-vfs, 216
fs_extra, 214
lexical-parse-float, 213
substrate-wasmtime-runtime, 213
path_abs, 212
sawtooth, 211
clipboard-win, 210
termwiz, 209
webview2, 209
wasmer-compiler-singlepass, 208
redoxfs, 208
systemd, 207
flutter_rust_bridge_codegen, 207
csound-sys, 207
dec, 207
simd-abstraction, 207
hashlink, 206
rustler, 206
sass-sys, 206
three-d, 206
encoding_rs, 205
CoreFoundation-sys, 204
nvml-wrapper, 204
gcrypt, 204
ckb-standalone-types, 204
neon-runtime, 203
iota-crypto, 203
rppal, 203
cargo-bundle, 202
rubato, 201
google-bigquery2, 200
xcb, 199
serenity, 199
aws-sdk-secretsmanager, 199
uds_windows, 199
cargo-c, 197
mbox, 196
lock_api, 195
psutil, 195
bevy_asset, 195
cargo-fuzz, 195
tin-summer, 195
libbpf-cargo, 194
dbus, 193
block-utils, 193
imageproc, 193
rustwlc, 193
cxx-build, 192
portable-atomic, 192
grin_secp256k1zkp, 192
trunk, 192
boringtun, 192
futures-util-preview, 191
legion, 191
td_revent, 191
grust, 191
simdutf8, 190
numpy, 190
ssh2, 190
libspa, 190
trybuild, 189
io-kit-sys, 189
gstreamer-sdp, 189
google-calendar3, 189
notify, 188
paho-mqtt, 188
grpcio-proto, 188
crev-lib, 188
procfs, 187
subprocess, 187
ritelinked, 187
ryu, 186
objc, 186
toml_edit, 186
harfbuzz_rs, 186
gfapi-sys, 186
sgx_types, 186
itoap, 185
bellman_ce, 185
deno_core, 184
object_store, 184
abci, 183
futures-util, 182
pathos, 182
deoxysii, 182
xkb, 182
deno_runtime, 182
femtovg, 182
s2n-tls, 182
cargo-spellcheck, 182
servo-fontconfig, 181
core-text, 181
freetype-rs, 181
xargo, 181
kdbplus, 181
clap-v3, 181
stm32f1xx-hal, 181
python-packaging, 181
ntex-bytes, 181
tract-data, 180
rustwide, 180
rustyline, 179
proj-sys, 179
deelevate, 179
lsd, 179
bevy-inspector-egui, 179
fil-rustacuda, 179
webview-sys, 178
odbc-api, 178
gstreamer-pbutils-sys, 178
rustacuda, 178
tendril, 177
flurry, 177
procs, 177
zellij-client, 177
carnix, 177
tract-nnef, 176
gpgme-sys, 176
ntex, 174
rogcat, 174
matrixmultiply, 173
gstreamer-sdp-sys, 173
ears, 173
bitcoin_hashes, 172
vmm-sys-util, 172
ringbuf, 172
capnp-rpc, 172
symbolic-debuginfo, 172
io-uring, 171
polars-lazy, 171
buildchain, 171
cobalt-bin, 171
coreaudio-rs, 170
pcap, 170
winpty-rs, 170
gexiv2-sys, 170
ex, 170
ruzstd, 169
olm-rs, 169
poem, 168
archery, 168
uds, 168
bee-ternary, 168
drm, 168
ff-find, 168
ignore, 167
libarchive, 167
indy, 167
lzzzz, 167
execute, 167
zerovec, 167
fatfs, 167
ink_env, 167
elrond-wasm-debug, 167
heed, 167
criterion, 166
cmake, 166
cortex-m, 166
nu-test-support, 166
bracket-terminal, 166
tts, 166
cargo-xbuild, 165
jomini, 165
rusty-leveldb, 165
compiler_builtins, 164
rustc-rayon-core, 164
id3, 164
rust-gmp-kzen, 164
flapigen, 164
irust, 164
vm-memory, 163
compact_str, 163
vhost, 163
indy-sys, 163
rojo, 163
windows-permissions, 162
rayon-core, 161
sha2ni, 161
sdl2_mixer, 161
bsn1, 161
age, 161
fd-find, 160
sha2raw, 160
ethers-core, 160
rust-gmp, 160
printnanny-api-client, 160
substrate-wasm-builder, 159
nng, 159
tokio-tfo, 159
gitui, 159
dlopen, 158
rusoto_iam, 158
alacritty_terminal, 158
fuser, 158
jni, 157
linked_list_allocator, 157
abomonation, 157
scaly, 157
filesystem, 157
fw, 157
bcc, 157
rusoto_glue, 157
google-fusiontables2, 157
mortal, 156
exa, 156
native-dialog, 156
cargo-zigbuild, 156
worker-sys, 156
deno_ffi, 156
clickhouse-rs, 156
miniserve, 156
google-identitytoolkit3, 156
lettre, 155
pgp, 155
evdev, 155
exonum_rocksdb, 155
geos, 155
font-kit, 154
blstrs, 154
raptorq, 154
polars-time, 154
xlsxwriter, 154
solana-cli, 154
hidapi, 153
ureq, 152
stm32f3xx-hal, 152
libusb1-sys, 151
tokio-tar, 151
sallyport, 151
sovrin-client, 151
webrtc-util, 150
moka, 150
phase21, 150
olm-sys, 150
gstreamer-check, 150
rblas, 150
membrane, 150
polling, 149
bytecount, 149
libnghttp2-sys, 149
mongodb, 149
proc-maps, 149
fasthash-sys, 149
trees, 149
evercrypt-sys, 149
base64-simd, 149
onig_sys, 148
specs, 148
bastion-executor, 148
allsorts, 148
luthor, 148
tetra, 148
gstreamer-rtp-sys, 148
asyncgit, 148
rustml, 148
generator, 147
croaring, 147
glow_glyph, 147
gstreamer-rtsp-sys, 147
mailslurp, 147
webrtc-dtls, 146
heim-process, 146
blas-sys, 146
blas, 146
ketos, 146
cbindgen, 145
cblas-sys, 145
piston2d-opengl_graphics, 145
rusty-tags, 145
quad-snd, 145
uwuify, 145
vsdb, 144
bellperson, 144
simd, 144
cargo-rpm, 144
aerospike, 144
fuchsia-zircon-sys, 143
libssh2-sys, 143
unified-diff, 143
nextest-runner, 143
magenta-sys, 143
git-delta, 143
voidmap, 143
arboard, 142
ocaml-interop, 142
snapbox, 142
speedy, 142
mp4ameta, 142
etcd, 142
async-weighted-semaphore, 142
bytes, 141
trust-dns-proto, 141
tokio-net, 141
flatdata, 141
nlopt, 141
pancurses, 141
cargo-incremental, 141
rb-sys, 141
rexiv2, 141
json, 140
d3d12, 140
pyembed, 140
midir, 140
fftw-sys, 140
sciter-rs, 140
cargo-crev, 140
ra_ap_assists, 140
tempfile, 139
mysql_common, 139
filedescriptor, 139
lopdf, 139
bootimage, 139
migrant_lib, 139
unshare, 139
console, 138
decimal, 138
storage-proofs-porep, 138
yara, 138
git-ref, 138
opencl3, 138
tokio-sync, 137
serialport, 137
cargo-util, 137
cargo-release, 137
libcryptsetup-rs, 137
ommui_data, 137
hlua-badtouch, 137
rusoto_rds, 137
pandoc, 136
podcast, 136
rustc-ap-rustc_data_structures, 135
rusoto_ssm, 135
parquet, 135
async-tar, 135
hlua, 135
ffsend, 135
neli, 134
tentacle, 134
parity-rocksdb-sys, 134
rendy-factory, 134
meowhash, 134
seshat, 134
fitsio, 134
insta, 133
system-configuration-sys, 133
merkletree, 133
spl-token-cli, 133
protobuf-native, 133
arraydeque, 132
async-nats, 132
parity-rocksdb, 132
substrate-wasmtime, 132
songbird, 132
image2, 132
webbrowser, 131
javascriptcore-rs, 131
kiss3d, 131
hina, 131
jsonschema-valid, 131
transit_model, 131
duckscriptsdk, 130
cargo-ndk, 130
libwebp-sys, 130
industrial-io, 130
pgx-tests, 130
ruma-macros, 130
tokio-executor, 129
cocoa, 129
aws-sdk-sqs, 129
tectonic, 129
mundane, 129
widestring, 128
wio, 128
rhai, 128
tss-esapi, 128
sanakirja, 128
libspa-sys, 128
cargo-insta, 128
docuum, 128
getrandom, 127
cidr, 127
sxd-document, 127
tauri-build, 127
amber, 127
imagesize, 126
fastly-sys, 126
imgui-opengl-renderer, 126
battery, 125
uniffi_bindgen, 125
starship-battery, 125
mozjpeg, 125
cargo-subcommand, 125
nu-cli, 125
graphql-parser, 124
libffi, 124
rexif, 124
tract-onnx, 124
git-pack, 124
pic32-hal, 124
openssh, 124
httparse, 123
sled, 123
miette, 123
speexdsp-resampler, 123
hwloc, 123
sdl2_image, 123
helix, 123
lua52-sys, 123
libwebp-sys2, 123
trycmd, 123
cacache, 123
squash-sys, 123
xdg, 122
rocket, 122
cxx, 122
ws, 122
windows-acl, 122
cargo-cache, 122
cucumber, 122
freertos-rust, 122
indy-crypto, 122
solana-install, 122
rusqlcipher, 122
curl, 121
secp256k1, 121
askama_derive, 121
gdk-pixbuf-sys, 121
rowan, 121
nu, 121
cargo-travis, 121
google-sheets4, 121
basis-universal, 121
deno-libffi, 121
pathfinder_gl, 121
slotmap, 120
freetype-sys, 120
pnacl-build-helper, 120
tauri, 120
c-ares, 120
project_init, 120
google-mirror1, 120
crossbeam-epoch, 119
opensrv-clickhouse, 119
csfml-audio-sys, 119
log4rs, 118
lz4_flex, 118
allegro_audio-sys, 118
portable-pty, 118
compress-tools, 118
concrete-fftw-sys, 118
clickhouse-srv, 118
linked-hash-map, 117
gltf, 117
serde-generate, 117
nannou, 117
zellij, 117
libcoinche, 117
net2, 116
exacl, 116
peek-poke, 116
glean-core, 116
dyon, 116
geozero, 116
xattr, 115
camino, 115
brotli-decompressor, 115
rust-crypto, 115
gstreamer-player-sys, 115
polars-io, 115
hoedown, 115
crossbeam-deque, 114
zip, 114
javascriptcore-rs-sys, 114
mozjpeg-sys, 114
ra_ap_ide, 114
streampager, 114
coremidi, 114
vcpkg, 113
fslock, 113
lodepng, 113
luajit-src, 113
cargo-outdated, 113
redis-module, 113
cargo-script, 113
jobserver, 112
lalrpop, 112
libdbus-sys, 112
leveldb, 112
cargo-deny, 112
librespot, 112
dxgcap, 112
xdr-codec, 112
smallvec, 111
ring, 111
cargo-llvm-cov, 111
aws-sdk-firehose, 111
gaol, 111
xwin, 111
beryllium, 111
hal, 111
zbus, 110
rusb, 110
bevy_render, 110
autotools, 110
slack_api, 110
yanix, 110
sharedlib, 110
vergen, 109
futures-intrusive, 109
static_init, 109
bite, 109
rust-crypto-wasm, 109
peroxide, 109
mimalloc-rust-sys, 108
findshlibs, 108
git-odb, 108
v4l, 108
python-oxidized-importer, 108
tealdeer, 108
stick, 108
google-pubsub1_beta2, 108
arrayvec, 107
libloading, 107
async-task, 107
tokio-fs, 107
opener, 107
rls-analysis, 107
dbase, 107
rosrust, 107
mio_httpc, 107
nvpair-sys, 107
serde_yaml, 106
tera, 106
attohttpc, 106
kamadak-exif, 106
nftnl, 106
solana-ledger, 106
vk-mem, 106
memcached-rs, 105
lightproc, 105
thin-vec, 105
neovim-lib, 105
magick_rust, 105
security-framework-sys, 104
openssl-src, 104
crossterm, 104
gettext-sys, 104
jsonschema, 104
mft, 104
filecoin-proofs, 104
rusoto_redshift, 104
rendy-command, 104
ra_ap_project_model, 104
sdl2_ttf, 104
snarkvm, 104
safe_network, 104
filetime, 103
term, 103
directories, 103
wasmi, 103
abi_stable_derive, 103
rkv, 103
sdp, 103
minijinja, 103
palaver, 103
winreg, 102
lru, 102
heim-disk, 102
encoding_c, 102
cargo-kcov, 102
speech-dispatcher, 102
deno_task_shell, 102
rust-mpfr, 102
chess, 102
raw_sync, 102
wasm-bindgen, 101
dispatch, 101
planus, 101
rusoto_cognito_idp, 101
datafusion, 101
smbios-lib, 101
gstreamer-check-sys, 101
grenad, 101
flate2, 100
coco, 100
macroquad, 100
proc_macro_tools, 100
marpa, 100
gluon, 100
wee_alloc, 99
fontdue, 99
cargo-sweep, 99
sailfish-compiler, 99
apple-sdk, 99
crossbeam-channel, 98
async-fs, 98
udev, 98
neon-sys, 98
tauri-codegen, 98
gitlab, 98
wtools, 98
meta_tools_min, 98
data_type, 98
wtest_basic, 98
wplot, 98
plot_interface, 98
mem_tools, 98
dia-args, 98
pact-plugin-driver, 98
bson, 97
honggfuzz, 97
x86_64, 97
ashpd, 97
macrotest, 97
utoipa-gen, 97
cargo-xwin, 97
ckb-std, 97
rust-script, 97
simple-http-server, 97
dashmap, 96
memmap2, 96
stdweb, 96
rusoto_s3, 96
pnet_sys, 96
winres, 96
rouille, 96
cbor-codec, 96
egui_glow, 96
hashmap_core, 96
cdrs, 96
savefile, 96
duct, 95
wasm-bindgen-cli, 95
fluvio-future, 95
proj, 95
buddy-alloc, 95
saphir, 95
cargo-asm, 95
hassle-rs, 95
permutator, 95
nom, 94
bstr, 94
curl-sys, 94
x11-dl, 94
fsevent-sys, 94
diesel_cli, 94
cargo-hack, 94
bio, 94
heim-cpu, 94
cloudflare-zlib-sys, 94
storage-proofs-core, 94
perfcnt, 94
cargo-bloat, 94
mp4, 94
generic-array, 93
reqwest, 93
standback, 93
parity-db, 93
minicbor, 93
libmimalloc-sys, 93
crossfont, 93
ggez, 93
transact, 93
seize, 93
x2apic, 93
rust-bert, 93
evtx, 93
byteorder, 92
seahash, 92
ar, 92
wasmer-compiler, 92
bitpacking, 92
sysctl, 92
lzma-rs, 92
lasso, 92
oneshot, 92
amethyst_rendy, 92
skiplist, 92
serde_json, 91
spirv-tools, 91
lexpr, 91
worker-build, 91
simple_excel_writer, 91
multipart, 90
envmnt, 90
gfx-backend-metal, 90
triomphe, 90
winauth, 90
imagequant-sys, 90
windows-bindgen, 90
xoodyak, 90
ntru, 90
wcensor, 90
ovr-mobile-sys, 90
tokio-postgres, 89
bitcoin, 89
testcontainers, 89
memsec, 89
git-config, 89
gifski, 89
halo2_gadgets, 89
miracl_core, 89
config_file_handler, 89
elf2tab, 89
crc64fast, 89
type_constructor, 89
xmlsec, 89
varlink, 89
fs-swap, 88
wasmtime-cache, 88
xshell, 88
electrum-client, 88
ruby-sys, 88
rb-sys-build, 88
weld-codegen, 88
polyval, 87
tiff, 87
inferno, 87
figment, 87
core-video-sys, 87
mysql, 87
self_update, 87
dprint-core, 87
rustfmt, 87
x86, 87
tauri-utils, 87
dircpy, 87
quickersort, 87
du-dust, 87
tao-core-video-sys, 87
git-discover, 87
b64-ct, 87
whoami, 86
tiny_http, 86
normpath, 86
ic-cdk, 86
oboe, 86
IOKit-sys, 86
aur-fetch, 86
heim-host, 86
cargo-chef, 86
async-timer, 86
conrod_core, 86
std_tools, 86
std_x, 86
non_std, 86
multilayer, 86
gimli, 85
zstd-safe, 85
sodiumoxide, 85
system-configuration, 85
wasmedge_tensorflow_interface, 85
rsass, 85
maildir, 85
secp256k1-plus, 85
simple-locale, 85
semverver, 85
google-adexchangebuyer1d3, 85
datafusion-physical-expr, 85
alcro, 85
x11rb-protocol, 85
directories-next, 84
skeptic, 84
cargo-edit, 84
heim-common, 84
allocator_api, 84
heartbeats-simple, 84
headless_chrome, 84
flamegraph, 84
swash, 84
dyer-cli, 84
ruru, 84
apint, 84
proptest, 83
pyo3-build-config, 83
ron, 83
rio, 83
x11, 83
ra_ap_syntax, 83
wasmtime-fiber, 83
named_pipe, 83
mongo_driver, 83
stack-buf, 83
assets_manager, 83
libblkid-rs, 83
winping, 83
cpufreq, 83
rusoto_cloudfront, 83
google-books1, 83
bytemuck, 82
reed-solomon-erasure, 82
fasthash, 82
cl-sys, 82
frame-support-procedural, 82
solana-core, 82
gstreamer-net, 82
ssbh_lib, 82
basis-universal-sys, 82
google-adsensehost4d1, 82
libimagstore, 82
sha2, 81
solana-program, 81
freetype, 81
kube-client, 81
sloggers, 81
command-group, 81
swc_ecma_minifier, 81
fs3, 81
autocxx-engine, 81
chumsky, 81
varisat, 81
gstreamer-rtsp, 81
rusoto_sesv2, 81
gdkx11, 81
git-worktree, 81
crc32fast, 80
libudev, 80
gpu-alloc, 80
cargo-binutils, 80
tinyset, 80
miniscript, 80
without-alloc, 80
ra_ap_ide_db, 80
libusb-sys, 80
bpf-sys, 80
vst, 80
file-sniffer, 80
dylint_internal, 80
sharded-slab, 79
volatile, 79
io-extras, 79
ocaml-sys, 79
mapr, 79
parquet2, 79
orbclient, 79
minisign, 79
libmdbx, 79
librespot-core, 79
ipmpsc, 79
rio_turtle, 79
evdev-sys, 79
psa-crypto-sys, 79
reedline, 79
kicad_parse_gen, 79
detour, 79
evdev-rs, 79
cargo-quickinstall, 79
binrw, 79
tonic, 78
mio-named-pipes, 78
libudev-sys, 78
isahc, 78
candid, 78
wabt-sys, 78
solana_rbpf, 78
dyer, 78
socketcan, 78
gdkx11-sys, 78
awsm_web, 78
ebur128, 78
griddle, 78
finalfusion, 78
gdk4-x11, 78
fbx_direct, 78
gstuff, 78
clog, 78
dbs-uhttp, 78
anyhow, 77
value-trait, 77
cargo-expand, 77
opensrv-mysql, 77
webview2-com, 77
arraystring, 77
odbc, 77
heartbeats-simple-sys, 77
commitlog, 77
k8-config, 77
isahc-opendal-workaround, 77
moka-cht, 77
wax, 77
fts, 77
hdfs-sys, 77
tokio-current-thread, 76
secp256k1-sys, 76
priority-queue, 76
cgmath, 76
rocket_http, 76
skim, 76
ra_ap_hir_def, 76
sabre-sdk, 76
refpool, 76
pdqsort, 76
fuel-vm, 76
tendermint-testgen, 76
pcap-sys, 76
dtoa, 75
memmap, 75
thrift, 75
pdqselect, 75
winx, 75
portaudio, 75
scylla, 75
croaring-mw, 75
snap, 74
fs-err, 74
protobuf-parse, 74
sqlx-cli, 74
capctl, 74
proxy-wasm, 74
ra_ap_hir, 74
cargo-vendor, 74
hdf5-types, 74
cmd_lib, 73
font-loader, 73
rttp_client, 73
tflite, 73
tokio-seqpacket, 73
cynic-codegen, 73
mach2, 73
zoxide, 73
ape, 73
twitchchat, 73
cargo-msrv, 73
tauri-api, 73
fuchsia-zircon, 72
region, 72
zmq-sys, 72
async-graphql, 72
socks, 72
leveldb-sys, 72
etcd-client, 72
swc_ecma_loader, 72
openat, 72
servo-skia, 72
metrohash, 72
h3ron, 72
coin_cbc, 72
hyperfine, 72
sgxs-loaders, 72
svm-rs, 72
msql-srv, 72
tokenizers, 72
ccl, 72
hyper, 71
hermit-abi, 71
loom, 71
