crate, effects
pgx-pg-sys, 48902
qt_core, 38859
qt_gui, 34098
ipp-headers-sys, 19273
gtk4, 15313
lapacke, 13877
gtk, 13189
rustfft, 12938
stm32h7, 12148
imgui-sys, 10167
stm32l4, 9722
fltk-sys, 9657
pic32mx2xx, 8977
stm32f7, 8617
lapack, 7805
input-sys, 7695
web-sys, 7430
stm32f4, 6870
tss-esapi-sys, 6580
winapi, 6529
winapi_forked_icmpapi, 6427
fast_image_resize, 6117
libc, 5953
gio, 5475
avr-device, 5202
GSL-sys, 5168
ndk-sys, 4885
gtk-sys, 4327
webview2-com-sys, 4270
gstreamer, 4115
sapp-linux, 3821
gtk4-sys, 3746
ash, 3636
glow, 3269
bcc-sys, 3200
libadwaita, 3085
glib, 2969
tao, 2773
torch-sys, 2729
rustix, 2646
aws-sdk-ec2, 2620
skia-safe, 2537
webkit2gtk, 2449
wgpu-hal, 2417
cart-tmp-winit, 2403
stm32f3, 2357
winit, 2287
stm32f1, 2244
coresimd, 2232
lapacke-sys, 2205
libxml, 2142
nice, 2077
deno, 2068
vulkano, 2020
miniquad, 2018
gio-sys, 1969
nftnl-sys, 1926
cryptoki-sys, 1920
linux-raw-sys, 1906
GSL, 1885
sysinfo, 1878
lpc55-pac, 1874
fltk, 1861
libftd2xx-ffi, 1845
primal-sieve, 1804
pathfinder_simd, 1789
sourceview5, 1769
onnxruntime-sys, 1714
gstreamer-sys, 1584
ffmpeg-next, 1573
gdk4, 1572
inkwell, 1565
glib-sys, 1544
rav1e, 1529
sourceview, 1521
surfman, 1502
simdnoise, 1478
x11rb, 1465
glib-2-0-sys, 1464
openssl, 1444
sfml, 1442
rusty_ffmpeg, 1424
boring, 1377
stm32f0, 1376
wdg-base32, 1371
gdk, 1367
v8, 1354
servo-glutin, 1352
gstreamer-rtsp-server, 1338
lapack-sys, 1316
alsa-sys, 1312
quad-alsa-sys, 1312
ipc-channel, 1310
llvm-sys, 1284
mach_o_sys, 1253
aws-sdk-rds, 1243
dcv-color-primitives, 1231
aws-sdk-ssm, 1228
aws-sdk-cognitoidentityprovider, 1224
native-windows-gui, 1223
blake3, 1192
aws-sdk-iam, 1185
druid-shell, 1179
stm32l0, 1165
polars-core, 1143
gstreamer-video, 1141
polars-arrow, 1141
sdl2, 1074
pyo3-ffi, 1072
git2, 1069
glutin, 1069
glam, 1056
libbpf-sys, 1040
sapp-android, 1015
rusty_v8, 990
tokio, 978
py-spy, 974
directwrite, 973
pgx, 964
glium, 962
ostree, 959
atsame54p, 938
binaryen-sys, 927
simd-json, 926
python3-sys, 914
nrf-hal-common, 899
simdeez, 898
soup2, 896
security-framework, 890
wry, 889
gstreamer-base, 887
sccache, 886
mikktspace, 884
pango, 882
rug, 877
memchr, 874
