crate, num_effects, total, loc_lb, loc_ub, macros, loc_lb, loc_ub, conditional_code, loc_lb, loc_ub, skipped_calls, loc_lb, loc_ub, skipped_fn_ptrs, loc_lb, loc_ub, skipped_other, loc_lb, loc_ub, unsafe_trait, loc_lb, loc_ub, unsafe_impl, loc_lb, loc_ub, pub_fns, pub_fns_with_effects, pub_total_effects, audited_fns, audited_loc
crossbeam-deque, 114, 2, 2306, 2306, 6, 8, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 3, 0, 0, 0, 6, 0, 6, 28, 13, 303, 22, 1085
crossbeam-epoch, 119, 12, 4892, 4892, 20, 39, 54, 15, 1027, 1027, 1, 0, 1, 0, 0, 0, 11, 12, 18, 0, 0, 0, 11, 0, 11, 50, 42, 408, 111, 815
crossbeam-utils, 29, 14, 3995, 3995, 45, 646, 670, 7, 57, 57, 0, 0, 0, 0, 0, 0, 5, 1, 5, 0, 0, 0, 16, 0, 16, 50, 16, 23, 28, 305
crypto-common, 0, 1, 336, 336, 0, 0, 0, 6, 39, 39, 0, 0, 0, 0, 0, 0, 9, 6, 9, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0
cssparser, 20, 13, 6532, 6532, 338, 1317, 1540, 3, 5, 5, 0, 0, 0, 0, 0, 0, 24, 10, 24, 0, 0, 0, 0, 0, 0, 128, 15, 31, 39, 1125
cssparser-macros, 0, 1, 34, 34, 3, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
cstr, 0, 2, 279, 279, 13, 4, 16, 1, 69, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
cubeb, 14, 5, 459, 459, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 12, 1, 4, 5, 76
cubeb, 14, 5, 459, 459, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 12, 1, 4, 5, 76
cubeb-backend, 23, 5, 708, 708, 29, 77, 97, 1, 29, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 16, 22, 20, 141
cubeb-backend, 23, 5, 708, 708, 29, 77, 97, 1, 29, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 16, 22, 20, 141
cubeb-backend, 23, 5, 708, 708, 29, 77, 97, 1, 29, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 16, 22, 20, 141
cubeb-core, 23, 13, 1713, 1713, 44, 407, 422, 6, 454, 454, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 72, 38, 66, 44, 150
cubeb-core, 23, 13, 1713, 1713, 44, 407, 422, 6, 454, 454, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 72, 38, 66, 44, 150
cubeb-core, 23, 13, 1713, 1713, 44, 407, 422, 6, 454, 454, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 72, 38, 66, 44, 150
cubeb-sys, 40, 13, 548, 548, 13, 145, 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 35, 35, 40, 81
cubeb-sys, 40, 13, 548, 548, 13, 145, 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 35, 35, 40, 81
cubeb-sys, 40, 13, 548, 548, 13, 145, 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 35, 35, 40, 81
d3d12, 140, 14, 2304, 2304, 20, 249, 256, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 117, 99, 142, 101, 879
