avg_call_stack, crate, fn_decl, callee, effect, dir, file, line, col
1, httparse, httparse::simd::avx2::avx2_code_matches_uri_chars_table, UNKNOWN_METHOD::cloned, [UnsafeCall], data/packages/hyper-0.14.27-packages/httparse-1.8.0/src/simd, avx2.rs, 132, 50
1, httparse, httparse::simd::sse42::match_url_char_16_sse, _mm_shuffle_epi8, [UnsafeCall], data/packages/hyper-0.14.27-packages/httparse-1.8.0/src/simd, sse42.rs, 52, 15
1, httparse, httparse::simd::avx2::match_header_value_char_32_avx, _mm256_or_si256, [UnsafeCall], data/packages/hyper-0.14.27-packages/httparse-1.8.0/src/simd, avx2.rs, 110, 39
1, httparse, httparse::simd::avx2::match_header_value_batch_32, UNKNOWN_METHOD::as_ref, [UnsafeCall], data/packages/hyper-0.14.27-packages/httparse-1.8.0/src/simd, avx2.rs, 74, 59
1, httparse, httparse::simd::sse42::match_header_value_char_16_sse, _mm_max_epu8, [UnsafeCall], data/packages/hyper-0.14.27-packages/httparse-1.8.0/src/simd, sse42.rs, 92, 29
1, httparse, httparse::simd::sse42::sse_code_matches_uri_chars_table, UNKNOWN_METHOD::iter, [UnsafeCall], data/packages/hyper-0.14.27-packages/httparse-1.8.0/src/simd, sse42.rs, 112, 43
1, httparse, httparse::parse_uri, core::str::converts::from_utf8_unchecked, [UnsafeCall], data/packages/hyper-0.14.27-packages/httparse-1.8.0/src, lib.rs, 855, 16
1, httparse, httparse::simd::avx2::match_header_value_char_32_avx, _mm256_cmpeq_epi8, [UnsafeCall], data/packages/hyper-0.14.27-packages/httparse-1.8.0/src/simd, avx2.rs, 111, 14
1, httparse, httparse::parse_reason, httparse::iter::Bytes::slice_skip, [UnsafeCall], data/packages/hyper-0.14.27-packages/httparse-1.8.0/src, lib.rs, 791, 34
1, httparse, httparse::parse_reason, httparse::iter::Bytes::slice_skip, [UnsafeCall], data/packages/hyper-0.14.27-packages/httparse-1.8.0/src, lib.rs, 802, 34
