avg_call_stack, crate, fn_decl, callee, effect, dir, file, line, col
1, libc, libc::unix::solarish::compat::getgrent_r, native_getgrent_r, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 206, 14
1, libc, libc::unix::linux_like::linux::musl::lfs64::preadv64, preadv, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/linux_like/linux/musl, lfs64.rs, 156, 4
1, libc, libc::unix::nto::mod::atexit, __cxa_atexit, [FFI Call], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/nto, mod.rs, 3220, 4
1, libc, libc::unix::solarish::compat::getpwent_r, native_getpwent_r, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 182, 14
1, libc, libc::unix::solarish::compat::forkpty, fork, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 135, 14
1, libc, libc::unix::solarish::compat::getgrent_r, ___errno, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 204, 21
1, libc, libc::unix::haiku::native::get_next_thread_info, _get_next_thread_info, [FFI Call], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/haiku, native.rs, 1340, 4
1, libc, libc::unix::solarish::compat::openpty, UNKNOWN_METHOD::as_ptr, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 88, 44
1, libc, libc::unix::solarish::compat::openpty, UNKNOWN_METHOD::is_null, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 76, 18
1, libc, libc::unix::solarish::mod::siginfo_t::si_uid, UNKNOWN_METHOD::sidata, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, mod.rs, 1089, 38
1, libc, libc::unix::linux_like::linux::musl::lfs64::ftruncate64, ftruncate, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/linux_like/linux/musl, lfs64.rs, 81, 4
1, libc, libc::unix::linux_like::linux::musl::lfs64::stat64, stat, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/linux_like/linux/musl, lfs64.rs, 220, 4
1, libc, libc::unix::linux_like::linux::musl::lfs64::statvfs64, statvfs, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/linux_like/linux/musl, lfs64.rs, 230, 4
1, libc, libc::unix::solarish::compat::getgrent_r, core::cmp::min, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 209, 8
1, libc, libc::unix::solarish::compat::openpty, ioctl, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 94, 11
1, libc, libc::unix::solarish::compat::bail, close, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 46, 8
1, libc, libc::unix::linux_like::linux::musl::lfs64::prlimit64, prlimit, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/linux_like/linux/musl, lfs64.rs, 166, 4
1, libc, libc::unix::solarish::compat::openpty, ioctl, [UnsafeCall], data/packages/hyper-0.14.27-packages/libc-0.2.146/src/unix/solarish, compat.rs, 94, 54
