crate, fn_decl, callee, effect, dir, file, line, col
hyper, hyper::proto::h1::role::Client::parse, bytes::bytes::Bytes::slice, bytes::bytes::Bytes::slice, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/proto/h1, role.rs, 1042, 56
hyper, hyper::client::connect::http::TcpStream::connected, tokio::net::tcp::stream::TcpStream::peer_addr, tokio::net::tcp::stream::TcpStream::peer_addr, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/client/connect, http.rs, 364, 57
hyper, hyper::common::io::rewind::Rewind::poll_read, tokio::io::read_buf::ReadBuf::put_slice, tokio::io::read_buf::ReadBuf::put_slice, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/common/io, rewind.rs, 61, 20
hyper, hyper::client::dispatch::Sender::send, tokio::sync::mpsc::unbounded::UnboundedSender::send, tokio::sync::mpsc::unbounded::UnboundedSender::send, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/client, dispatch.rs, 100, 13
hyper, hyper::proto::h2::H2Upgraded::poll_read, tokio::io::read_buf::ReadBuf::remaining, tokio::io, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/proto/h2, mod.rs, 328, 57
hyper, hyper::client::connect::CaptureConnectionExtension::set, tokio::sync::watch::Sender::send_replace, tokio::sync::watch::Sender::send_replace, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/client/connect, mod.rs, 225, 16
hyper, hyper::proto::h2::ping::KeepAlive::schedule, tokio::time::sleep::Sleep::reset, tokio::time::sleep::Sleep::reset, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/proto/h2, ping.rs, 483, 36
hyper, hyper::common::io::rewind::Rewind::poll_write_vectored, tokio::io::async_write::AsyncWrite::poll_write_vectored, tokio::io::async_write::AsyncWrite::poll_write_vectored, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/common/io, rewind.rs, 92, 34
hyper, hyper::client::dispatch::Callback::drop, tokio::sync::oneshot::Sender::send, tokio::sync::oneshot::Sender::send, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/client, dispatch.rs, 231, 31
hyper, hyper::ffi::task::hyper_executor::poll_next, futures_task::waker_ref::waker_ref, futures_task::waker_ref::waker_ref, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/ffi, task.rs, 125, 20
hyper, hyper::common::io::rewind::Rewind::is_write_vectored, tokio::io::async_write::AsyncWrite::is_write_vectored, tokio::io::async_write::AsyncWrite::is_write_vectored, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/common/io, rewind.rs, 104, 19
hyper, hyper::ffi::io::hyper_io::poll_read, tokio::io::read_buf::ReadBuf::remaining, tokio::io, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/ffi, io.rs, 130, 26
hyper, hyper::proto::h1::role::Server::parse, bytes::bytes::Bytes::slice, bytes::bytes::Bytes::slice, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/proto/h1, role.rs, 298, 52
hyper, hyper::server::tcp::AddrIncoming::poll_next_, tokio::net::tcp::stream::TcpStream::local_addr, tokio::net, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/server, tcp.rs, 222, 44
hyper, hyper::common::drain::Signal::drain, tokio::sync::watch::Sender::send, tokio::sync::watch::Sender::send, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/common, drain.rs, 42, 24
hyper, hyper::client::connect::http::connect, tokio::net::tcp::socket::TcpSocket::set_reuseaddr, tokio::net::tcp::socket::TcpSocket::set_reuseaddr, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/client/connect, http.rs, 644, 31
hyper, hyper::proto::h1::io::Buffered::read_mem, bytes::bytes_mut::BytesMut::split_to, bytes::bytes_mut::BytesMut::split_to, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/proto/h1, io.rs, 383, 41
hyper, hyper::client::connect::http::TcpStream::connected, tokio::net::tcp::stream::TcpStream::local_addr, tokio::net::tcp::stream::TcpStream::local_addr, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/client/connect, http.rs, 364, 75
hyper, hyper::client::dispatch::Sender::try_send, tokio::sync::mpsc::unbounded::UnboundedSender::send, tokio::sync::mpsc::unbounded::UnboundedSender::send, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/client, dispatch.rs, 89, 13
hyper, hyper::ffi::io::hyper_io::poll_read, tokio::io::read_buf::ReadBuf::advance, tokio::io::read_buf::ReadBuf::advance, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/ffi, io.rs, 142, 20
hyper, hyper::client::connect::http::connect, tokio::net::tcp::socket::TcpSocket::set_send_buffer_size, tokio::net::tcp::socket::TcpSocket::set_send_buffer_size, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/client/connect, http.rs, 650, 31
hyper, hyper::client::dispatch::channel, tokio::sync::mpsc::unbounded::unbounded_channel, tokio::sync::mpsc::unbounded::unbounded_channel, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/client, dispatch.rs, 15, 19
hyper, hyper::proto::h2::ping::channel, tokio::time::sleep::sleep, tokio::time::sleep::sleep, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/proto/h2, ping.rs, 70, 24
hyper, hyper::client::dispatch::Callback::send, tokio::sync::oneshot::Sender::send, tokio::sync::oneshot::Sender::send, data/packages/hyper-0.14.27-packages/hyper-0.14.27/src/client, dispatch.rs, 259, 43
want, want::Giver::poll_want, try_lock::TryLock::try_lock_explicit, try_lock::TryLock::try_lock_explicit, data/packages/hyper-0.14.27-packages/want-0.3.1/src, lib.rs, 204, 62
want, want::Taker::signal, try_lock::TryLock::try_lock_explicit, try_lock::TryLock::try_lock_explicit, data/packages/hyper-0.14.27-packages/want-0.3.1/src, lib.rs, 347, 62
