created_at,description,documentation,downloads,homepage,id,name,repository,updated_at
2020-06-11 18:15:15.849646,DEPRECATED: replaced by the `cpufeatures` crate,,13078820,,252891,cpuid-bool,https://github.com/RustCrypto/utils/tree/master/cpufeatures,2021-05-06 23:32:28.057308
2020-05-17 16:08:47.117572,Concurrent multi-producer multi-consumer queue,,13067333,,242702,concurrent-queue,https://github.com/smol-rs/concurrent-queue,2022-07-27 02:25:11.17629
2015-03-15 19:05:37.390081,"Rust implementation of CRC(16, 32, 64) with support of various standards",https://docs.rs/crc,12993016,,1585,crc,https://github.com/mrhooray/crc-rs.git,2022-04-23 02:43:33.189383
2016-12-23 17:20:31.319203,Tower is a library of modular and reusable components for building robust clients and servers. ,https://docs.rs/tower/0.4.13,12901543,https://github.com/tower-rs/tower,7751,tower,https://github.com/tower-rs/tower,2022-06-17 19:45:12.713535
2015-04-30 08:47:27.336024,An LCS based slice and string diffing implementation.,https://docs.rs/diff,12892154,https://github.com/utkarshkukreti/diff.rs,1993,diff,https://github.com/utkarshkukreti/diff.rs,2022-06-29 01:52:10.83627
2015-06-02 22:21:46.648713,An unreachable code optimization hint in stable rust.,,12879010,,2291,unreachable,https://github.com/reem/rust-unreachable.git,2017-05-09 20:54:44.587632
2015-03-18 18:49:05.61533,A cache that holds a limited number of key-value pairs,https://contain-rs.github.io/lru-cache/lru_cache,12775850,https://github.com/contain-rs/lru-cache,1601,lru-cache,https://github.com/contain-rs/lru-cache,2019-03-21 01:04:02.527231
2018-02-01 17:43:49.444123,Event loop that drives Tokio I/O resources. ,https://docs.rs/tokio-reactor/0.1.12/tokio_reactor,12712787,https://tokio.rs,49184,tokio-reactor,https://github.com/tokio-rs/tokio,2020-02-05 00:24:22.888936
2015-06-03 01:12:47.369506,A set of bits,https://contain-rs.github.io/bit-set/bit_set,12708592,https://github.com/contain-rs/bit-set,2295,bit-set,https://github.com/contain-rs/bit-set,2022-07-23 00:33:04.782734
2019-03-23 21:12:27.53753,Custom derive support for zeroize,,12697636,,123393,zeroize_derive,https://github.com/RustCrypto/utils/tree/master/zeroize/derive,2022-02-18 20:26:53.90257
2018-09-11 16:14:17.942528,FFI bindings for Native API,https://docs.rs/ntapi/*/x86_64-pc-windows-msvc/ntapi/,12563621,,84153,ntapi,https://github.com/MSxDOS/ntapi,2022-09-23 22:02:12.049486
2016-03-19 07:03:31.602187,Indented document literals,https://docs.rs/indoc,12561814,,4483,indoc,https://github.com/dtolnay/indoc,2022-08-02 00:16:43.370031
2015-09-02 04:59:26.926644,Cross-platform file locks and file duplication.,https://docs.rs/fs2,12510357,,2979,fs2,https://github.com/danburkert/fs2-rs,2018-01-06 20:18:30.565584
2019-07-15 22:52:00.911246,"A tiny, robust PRNG implementation.",,12510040,,149261,oorandom,https://sr.ht/~icefox/oorandom/,2020-11-21 17:03:17.59016
2016-10-06 19:27:19.095615,SHA-3 (Keccak) hash function,https://docs.rs/sha3,12488721,,6750,sha3,https://github.com/RustCrypto/hashes,2022-09-16 02:08:08.189958
2015-07-17 14:19:14.002384,Fast parser combinators on arbitrary streams with zero-copy support.,https://docs.rs/combine,12439651,,2624,combine,https://github.com/Marwes/combine,2022-08-09 16:42:46.60594
2019-04-24 17:22:34.929046,A Rust drawing library focus on data plotting for both WASM and native applications,,12370330,https://plotters-rs.github.io/,129910,plotters,https://github.com/plotters-rs/plotters,2022-09-08 06:52:00.954709
2016-07-17 21:11:22.557375,Remove a column of leading whitespace from a string,https://docs.rs/unindent,12346716,,5698,unindent,https://github.com/dtolnay/indoc,2022-08-02 00:16:36.081496
2020-02-24 03:26:45.809913,Trait generalization over the primitive types,https://docs.rs/funty,12337545,,211920,funty,https://github.com/myrrlyn/funty,2021-11-28 08:56:54.503319
2016-12-08 05:13:57.620503,A pure-Rust implementation of group operations on ristretto255 and Curve25519,https://docs.rs/curve25519-dalek,12336745,https://dalek.rs/curve25519-dalek,7509,curve25519-dalek,https://github.com/dalek-cryptography/curve25519-dalek,2022-02-16 22:23:19.944352
2017-03-17 16:50:05.505222,Lightweight stream-based WebSocket implementation,https://docs.rs/tungstenite/0.17.3,12334558,https://github.com/snapview/tungstenite-rs,9019,tungstenite,https://github.com/snapview/tungstenite-rs,2022-07-13 13:26:20.426847
2020-05-31 09:53:26.285174,"Futures, streams, and async I/O combinators",https://docs.rs/futures-lite,12317671,https://github.com/smol-rs/futures-lite,248070,futures-lite,https://github.com/smol-rs/futures-lite,2021-06-03 13:00:50.555043
2015-11-15 13:11:40.32268,Approximate floating point equality comparisons and assertions.,https://docs.rs/approx,12316638,https://github.com/brendanzab/approx,3427,approx,https://github.com/brendanzab/approx,2022-01-23 10:15:35.11859
2020-05-16 14:40:51.599742,Thread parking and unparking,https://docs.rs/parking,12300685,https://github.com/stjepang/parking,242384,parking,https://github.com/stjepang/parking,2020-08-04 18:03:07.476314
2018-07-14 00:41:38.320191,libm in pure Rust,https://docs.rs/libm,12245016,,74142,libm,https://github.com/rust-lang/libm,2022-08-10 14:24:11.044653
2018-02-07 05:57:38.438991,A task scheduler backed by a work-stealing thread pool. ,https://docs.rs/tokio-threadpool/0.1.18/tokio_threadpool,12240843,https://github.com/tokio-rs/tokio,49985,tokio-threadpool,https://github.com/tokio-rs/tokio,2020-02-04 23:50:31.496978
2014-11-21 00:30:41.855088,Rust implementation of Google protocol buffers ,https://github.com/stepancheg/rust-protobuf/blob/master/README.md,12168549,https://github.com/stepancheg/rust-protobuf/,198,protobuf,https://github.com/stepancheg/rust-protobuf/,2022-06-22 03:54:37.279792
2016-02-27 18:57:14.24827,Parse and encode PEM-encoded data.,https://docs.rs/pem/,11972473,https://github.com/jcreekmore/pem-rs.git,4311,pem,https://github.com/jcreekmore/pem-rs.git,2022-07-13 14:24:31.999412
2018-02-01 17:45:27.784927,TCP bindings for tokio. ,https://docs.rs/tokio-tcp/0.1.4/tokio_tcp,11949960,https://tokio.rs,49187,tokio-tcp,https://github.com/tokio-rs/tokio,2020-02-05 00:22:14.11001
2014-11-13 06:35:27.096084,Native bindings to the libgit2 library,,11882503,,77,libgit2-sys,https://github.com/rust-lang/git2-rs,2022-07-28 22:17:04.358691
2019-05-06 13:07:43.086764,Async multi-producer multi-consumer channel,https://docs.rs/async-channel,11878345,https://github.com/smol-rs/async-channel,132389,async-channel,https://github.com/smol-rs/async-channel,2022-08-10 15:38:29.369269
2020-05-16 17:22:12.647555,Convert closures into wakers,https://docs.rs/waker-fn,11871143,https://github.com/stjepang/waker-fn,242430,waker-fn,https://github.com/stjepang/waker-fn,2020-08-26 21:32:03.49317
2014-11-14 23:37:32.510389,Bindings to libgit2 for interoperating with git repositories. This library is both threadsafe and memory safe and allows both reading and writing git repositories. ,https://docs.rs/git2,11851929,,112,git2,https://github.com/rust-lang/git2-rs,2022-07-28 22:18:30.101914
2017-10-03 07:53:48.435005,Trust-DNS is a safe and secure DNS library. This is the foundational DNS protocol library for all Trust-DNS projects. ,https://docs.rs/trust-dns-proto,11719463,http://www.trust-dns.org/index.html,34235,trust-dns-proto,https://github.com/bluejekyll/trust-dns,2022-09-02 14:43:12.690164
2015-02-22 00:27:07.951648,A library for managing a temporary directory and deleting all contents when it's dropped. ,https://doc.rust-lang.org/tempdir,11513962,https://github.com/rust-lang/tempdir,1447,tempdir,https://github.com/rust-lang/tempdir,2018-03-21 07:46:03.078845
2019-09-22 02:52:16.93238,myrrlyn’s utility collection,https://docs.rs/wyz,11490306,https://myrrlyn.net/crates/wyz,166684,wyz,https://github.com/myrrlyn/wyz,2021-11-28 09:08:29.540472
2014-11-11 06:37:38.477744,"**Deprecated** crate, renamed to `cc`  A build-time dependency for Cargo build scripts to assist in invoking the native C compiler to compile native C code into a static archive to be linked into Rust code. ",https://docs.rs/gcc,11454273,,35,gcc,https://github.com/alexcrichton/gcc-rs,2018-10-08 22:06:05.796359
2018-03-29 08:35:21.939899,Macro to generate doc comments,http://docs.rs/crate/doc-comment,11434336,,58042,doc-comment,https://github.com/GuillaumeGomez/doc-comment,2020-07-01 19:18:24.882328
2014-12-13 22:10:14.289738,getopts-like option parsing. ,https://doc.rust-lang.org/getopts,11372535,https://github.com/rust-lang/getopts,546,getopts,https://github.com/rust-lang/getopts,2019-08-19 15:47:50.326738
