name,downloads,description,created_at,updated_at,documentation,homepage,repository,id
glam,1496599,A simple and fast 3D math library for games and graphics,2019-05-22 13:07:43.1253,2022-08-02 11:29:51.069393,,,https://github.com/bitshifter/glam-rs,136081
http-client,1493494,Types and traits for http clients.,2019-03-29 16:25:14.750392,2022-06-20 20:34:06.027569,https://docs.rs/http-client,,https://github.com/http-rs/http-client,124607
wasmer-compiler,1492785,Base compiler abstraction for Wasmer WebAssembly runtime,2020-08-15 00:34:52.016222,2022-08-08 17:20:00.626169,,,https://github.com/wasmerio/wasmer,276861
wasmer-types,1492343,Wasmer Common Types,2020-08-15 00:31:59.464424,2022-08-08 17:11:23.016807,,,https://github.com/wasmerio/wasmer,276858
wasmer-vm,1491775,Runtime library support for Wasmer,2020-08-15 00:33:36.24042,2022-08-08 17:15:42.795917,,,https://github.com/wasmerio/wasmer,276860
no-std-compat,1491248,A `#![no_std]` compatibility layer that will make porting your crate to no_std *easy*.,2019-04-20 20:59:23.80504,2020-08-09 08:39:42.206558,,,https://gitlab.com/jD91mZM2/no-std-compat,129142
fail,1490210,Fail points for rust.,2017-09-27 11:14:00.508814,2021-11-07 14:25:45.152655,https://docs.rs/fail,https://github.com/tikv/fail-rs,https://github.com/tikv/fail-rs,33538
cxx,1489453,Safe interop between Rust and C++,2019-12-28 02:59:21.893783,2022-09-19 17:42:20.241988,https://docs.rs/cxx,https://cxx.rs,https://github.com/dtolnay/cxx,192866
libp2p-gossipsub,1487360,Gossipsub protocol for libp2p,2020-01-24 16:39:56.838348,2022-09-07 08:03:45.174623,,,https://github.com/libp2p/rust-libp2p,201569
base16ct,1483241,Pure Rust implementation of Base16 a.k.a hexadecimal (RFC 4648) which avoids any usages of data-d...,2022-01-11 22:12:56.812454,2022-01-15 15:37:12.299674,https://docs.rs/base16ct,,https://github.com/RustCrypto/formats/tree/master/base16ct,512489
derive_utils,1482954,A procedural macro helper for easily writing derive macros for enums. ,2018-12-15 06:32:47.431357,2022-01-10 12:41:56.023049,,,https://github.com/taiki-e/derive_utils,101989
wasmer-engine,1482821,Wasmer Engine abstraction,2020-08-15 00:42:09.771152,2022-06-06 20:26:11.381278,,,https://github.com/wasmerio/wasmer,276867
wasmer-object,1482041,Wasmer Native Object generator,2020-08-15 00:46:08.361768,2022-08-08 17:17:35.737758,,,https://github.com/wasmerio/wasmer,276870
glow,1478462,"GL on Whatever: a set of bindings to run GL (Open GL, OpenGL ES, and WebGL) anywhere, and avoid t...",2019-03-20 18:27:03.121785,2021-12-28 03:30:17.282341,,https://github.com/grovesNL/glow.git,https://github.com/grovesNL/glow,122727
schnorrkel,1477140,"Schnorr VRF, signatures, etc. using the Ristretto group",2019-02-12 10:13:52.067952,2021-10-18 07:46:46.109232,https://docs.rs/schnorrkel,,https://github.com/w3f/schnorrkel,114271
cuckoofilter,1476380,Cuckoo Filter: Practically Better Than Bloom,2015-07-17 05:59:39.49279,2020-08-25 16:29:05.054317,,http://axiom.co,https://github.com/axiomhq/rust-cuckoofilter,2619
miette-derive,1475885,Derive macros for miette. Like `thiserror` for Diagnostics.,2021-08-15 18:51:03.664675,2022-09-10 21:26:21.133872,,,https://github.com/zkat/miette,437438
miette,1475725,Fancy diagnostic reporting library and protocol for us mere mortals who aren't compiler hackers.,2021-08-03 02:37:11.180152,2022-09-10 21:26:48.213713,https://docs.rs/miette,,https://github.com/zkat/miette,430774
environmental,1474117,Set scope-limited values can can be accessed statically,2018-09-13 14:38:47.414286,2021-05-12 09:20:19.658551,,,,84536
servo_arc,1473811,A fork of std::sync::Arc with some extra functionality and without weak references,2018-01-12 23:13:18.094655,2018-02-22 01:50:51.344763,,,https://github.com/servo/servo,46579
rls-vfs,1473295,Virtual File System for the RLS,2017-04-09 20:44:01.066693,2019-04-21 10:09:36.103456,,,https://github.com/rust-lang/rls,10155
xcursor,1472928,A library for loading XCursor themes,2020-04-09 14:00:47.330252,2021-08-23 10:22:11.862794,https://docs.rs/xcursor,,https://github.com/esposm03/xcursor-rs,227961
osmesa-sys,1469753,OSMesa library bindings for Rust,2015-04-09 16:55:48.920214,2016-09-17 05:01:40.145309,,,https://github.com/Daggerbot/osmesa-rs.git,1822
chalk-engine,1468448,Core trait engine from Chalk project,2018-03-22 08:55:02.000793,2022-07-31 00:27:09.67686,,,https://github.com/rust-lang/chalk,56860
rustc-ap-serialize,1468233,Automatically published version of the package `serialize` in the rust-lang/rust repository from ...,2018-01-11 02:34:09.449264,2020-06-02 08:31:22.128458,,,https://github.com/rust-lang/rust,46314
