name,downloads,description,created_at,updated_at,documentation,homepage,repository,id
executable-path,56502,Get the path of a binary target's executable,2017-11-30 17:41:11.766518,2017-11-30 17:42:08.940717,,https://github.com/casey/rust-executable-path,,41141
cw-controllers,56484,Common controllers we can reuse in many contracts,2020-12-22 21:07:21.940142,2022-09-14 13:58:48.248623,,https://cosmwasm.com,https://github.com/CosmWasm/cw-plus,326204
throttle,56471,Time-based rate-limit utility,2019-08-12 17:14:07.874031,2019-08-12 17:14:07.874031,,https://github.com/SOF3/throttle,https://github.com/SOF3/throttle.git,156174
tauri_includedir_codegen,56450,This crate was deprecated. It is now part of the `tauri-codegen` crate.,2019-12-16 22:51:48.100261,2021-06-06 00:35:33.871893,https://docs.rs/includedir_codegen,https://github.com/tilpner/includedir,https://github.com/tilpner/includedir,189865
ws_stream_tungstenite,56424,Provide AsyncRead/AsyncWrite over Tungstenite WebSockets,2019-09-17 17:05:54.7609,2022-04-24 19:41:58.103505,https://docs.rs/ws_stream_tungstenite,https://github.com/najamelan/ws_stream_tungstenite,https://github.com/najamelan/ws_stream_tungstenite,165511
mavlink,56379,Implements the MAVLink data interchange format for UAVs.,2016-02-24 04:44:56.964127,2022-02-03 12:23:17.640124,,,https://github.com/mavlink/rust-mavlink,4263
velcro_core,56378,Core dependencies used by the `velcro` crate. See `velcro` for documentation.  It is not advised ...,2020-12-02 08:10:03.148776,2021-01-15 20:54:19.136165,https://docs.rs/velcro/latest/velcro,https://github.com/peterjoel/velcro,https://github.com/peterjoel/velcro,318829
did_url,56326,A no_std parser for Decentralized Identifiers (DIDs),2020-11-13 01:57:41.904298,2020-11-13 01:57:41.904298,,,https://github.com/l1h3r/did_url,311808
nnnoiseless,56324,"Audio denoising, derived from Xiph's RNNoise library",2020-07-09 17:11:27.063375,2022-05-26 20:06:50.664373,,,https://github.com/jneem/nnnoiseless,262936
micro-timer-macros,56319,Macros for the micro-timer crate,2020-03-23 10:55:10.108353,2020-09-28 13:40:02.596463,,https://foss.heptapod.net/octobus/rust/micro-timer/tree/branch/default/libs/micro-timer-macros,https://foss.heptapod.net/octobus/rust/micro-timer/tree/branch/default/libs/micro-timer-macros,221706
rust-webvr-api,56260,Safe rust API that provides a way to interact with Virtual Reality headsets  and integration with...,2017-08-30 20:01:16.885657,2020-02-19 22:39:17.982798,,https://github.com/servo/rust-webvr,https://github.com/servo/rust-webvr,29932
actix-protobuf,56255,Protobuf payload extractor for Actix Web,2018-03-21 23:01:40.404935,2022-08-24 17:11:21.858374,,https://actix.rs,https://github.com/actix/actix-extras.git,56810
substrate-wasmtime-jit,56226,JIT-style execution for WebAsssembly code in Cranelift,2020-03-12 18:08:04.596962,2020-05-19 18:18:30.485017,https://docs.rs/wasmtime-jit,,https://github.com/bytecodealliance/wasmtime,217914
termbg,56210,Terminal background color detection,2020-11-09 10:20:28.730055,2022-05-25 01:16:45.575212,,,https://github.com/dalance/termbg,310245
simd-json-derive-int,56162,procmacros for simd-json-derive,2020-06-17 07:32:41.064831,2022-07-08 12:17:30.157512,,,,254846
zeroconf,56161,cross-platform library that wraps ZeroConf/mDNS implementations like Bonjour or Avahi,2020-09-25 00:35:56.749029,2022-04-26 17:23:26.357022,https://docs.rs/zeroconf,https://github.com/windy1/zeroconf-rs,https://github.com/windy1/zeroconf-rs,292705
zcash_note_encryption,56154,Note encryption for Zcash transactions,2021-03-19 20:56:43.074577,2021-12-17 22:01:20.478386,,https://github.com/zcash/librustzcash,https://github.com/zcash/librustzcash,371091
never-type,56145,This library is an alternative implementation of never type for stable rust.,2019-04-05 12:20:01.259016,2019-10-17 01:27:41.327784,,,http://github.com/CodeChain-io/rust-never-type,125975
libappindicator,56137,Rust safe bindings for libappindicator,2017-02-27 07:50:36.395077,2022-06-29 02:41:09.770129,,,,8709
internet-checksum,56074,"RFC 1071 checksum computation (the ""internet checksum"")",2019-06-25 18:15:02.035958,2021-11-09 21:31:50.200332,,,https://fuchsia.googlesource.com/fuchsia/+/HEAD/src/connectivity/lib/internet-checksum,143540
checkers-macros,56049,"Macros for checkers, a sanity checker for global allocations. ",2020-01-18 10:32:11.724636,2022-04-25 00:36:33.116315,https://docs.rs/checkers,https://github.com/udoprog/checkers,https://github.com/udoprog/checkers,199682
tree-sitter-typescript,56036,Typescript grammar for the tree-sitter parsing library,2021-03-09 17:42:54.001957,2022-03-29 00:36:52.758432,,,https://github.com/tree-sitter/tree-sitter-typescript,366430
dbus-codegen,55990,Binary crate to generate Rust code from XML introspection data,2017-11-11 03:51:19.225907,2021-10-13 06:20:58.335973,,,https://github.com/diwic/dbus-rs,38957
mmledger,55968,A ledger for confidential computing (CC) shims for tracking memory management system calls,2022-03-15 08:09:06.319586,2022-05-03 16:37:05.255233,,https://github.com/enarx/mmledger,https://github.com/enarx/mmledger,550362
fastrlp-derive,55944,Procedural macros for fastrlp,2022-03-16 15:36:56.461085,2022-07-24 09:07:29.971706,,,https://github.com/vorot93/fastrlp,551241
tai64,55931,TAI64 and TAI64N (i.e. Temps Atomique International) timestamp support for Rust,2018-03-21 06:36:14.226368,2021-11-05 03:55:04.125251,,,https://github.com/RustCrypto/formats/tree/master/tai64,56658
nphysics2d,55914,2-dimensional physics engine in Rust. This crate is being superseded by the rapier3d crate.,2016-03-30 20:44:11.688596,2021-08-08 16:19:27.047553,http://nphysics.org/rustdoc/nphysics2d/index.html,http://nphysics.org,https://github.com/rustsim/nphysics,4627
v_eval,55911,Expression evaluator with context,2019-03-18 17:35:28.901401,2020-05-05 19:13:06.33938,https://docs.rs/v_eval,,https://github.com/botika/v_eval,122287
hyperfine,55839,A command-line benchmarking tool,2018-01-13 19:43:43.164635,2022-09-07 07:30:06.482266,,https://github.com/sharkdp/hyperfine,https://github.com/sharkdp/hyperfine,46692
k8-types,55779,Kubernetes Object Types,2021-01-16 05:46:15.267037,2022-09-02 18:31:40.746366,,,https://github.com/infinyon/k8-api,342671
