name,downloads,description,created_at,updated_at,documentation,homepage,repository,id
thousands,843335,"Adds digit separators to numbers, configurably.",2018-09-16 21:22:37.781028,2019-10-20 03:15:00.370802,,,https://github.com/tov/thousands-rs,85033
jsonrpsee,842186,JSON-RPC crate,2020-02-28 11:36:53.66566,2022-07-29 11:11:09.880971,https://docs.rs/jsonrpsee,https://github.com/paritytech/jsonrpsee,https://github.com/paritytech/jsonrpsee,213513
kube-core,840795,"Kube shared types, traits and client-less behavior",2021-05-18 22:04:01.614081,2022-09-21 19:59:48.8271,,,https://github.com/kube-rs/kube-rs,399165
junit-report,840235,Create JUnit compatible XML reports.,2018-09-21 21:52:53.678869,2022-09-10 19:49:49.57509,,,https://github.com/bachp/junit-report-rs,85883
mysql,839305,Mysql client library implemented in rust,2014-11-24 18:05:48.308665,2022-06-28 18:07:43.826656,https://docs.rs/mysql,,https://github.com/blackbeam/rust-mysql-simple,385
maxminddb,838566,Library for reading MaxMind DB format used by GeoIP2 and GeoLite2,2014-11-22 21:35:03.782489,2022-04-03 23:21:23.730634,http://oschwald.github.io/maxminddb-rust/maxminddb/struct.Reader.html,https://github.com/oschwald/maxminddb-rust,https://github.com/oschwald/maxminddb-rust,355
duct_sh,837990,"a sub-crate for the sh function, formerly in duct",2017-05-30 05:10:28.795777,2021-02-04 20:56:16.503523,https://docs.rs/duct_sh,,https://github.com/oconnor663/duct.rs/tree/master/duct_sh,16866
core-text,834676,Bindings to the Core Text framework.,2015-02-12 10:51:34.682685,2021-02-14 18:57:29.125262,,,https://github.com/servo/core-foundation-rs,1387
netlink-sys,834114,"netlink sockets, with optional integration with tokio",2018-07-11 00:07:39.93849,2022-06-23 13:07:55.528797,,https://github.com/little-dude/netlink,https://github.com/little-dude/netlink,73685
quest,831426,Simple command-line user input.,2018-07-13 13:07:34.067071,2018-08-08 12:57:37.624398,,,https://github.com/quadrupleslap/quest,74023
file_diff,830608,An atomic utility for diffing files in testing,2014-12-23 22:54:38.286622,2016-04-10 02:04:36.78031,,https://github.com/ethanpailes/file_diff-rs,https://github.com/ethanpailes/file_diff-rs,632
argon2,829997,"Pure Rust implementation of the Argon2 password hashing function with support for the Argon2d, Ar...",2017-02-28 15:24:34.446863,2022-06-27 15:34:25.115843,https://docs.rs/argon2,,https://github.com/RustCrypto/password-hashes/tree/master/argon2,8736
