name,downloads,description,created_at,updated_at,documentation,homepage,repository,id
ravif,54390,rav1e-based pure Rust library for encoding images in AVIF format (powers the `cavif` tool),2020-09-14 12:01:53.355261,2022-09-05 19:41:43.130072,,https://lib.rs/ravif,https://github.com/kornelski/cavif-rs,288563
ssri,54387,Various utilities for handling Subresource Integrity.,2019-05-19 21:12:12.901279,2021-09-16 02:26:02.246969,,https://github.com/zkat/ssri-rs,https://github.com/zkat/ssri-rs,135486
tree-sitter-python,54383,Python grammar for the tree-sitter parsing library,2020-10-26 19:18:55.846537,2022-06-27 22:10:06.508671,,,https://github.com/tree-sitter/tree-sitter-python,305712
actix-daemon-utils,54378,Daemon Utilities by actix.,2020-02-12 01:02:33.451084,2022-03-31 08:38:38.314715,https://docs.rs/actix-daemon-utils,,https://github.com/aoyagikouhei/actix-daemon-utils-rs,207507
immutable-chunkmap,54377,"A fast immutable map and set with batch insert and update methods, COW operations, and big O effi...",2017-12-26 00:43:51.933833,2022-09-03 19:07:19.686808,https://docs.rs/immutable-chunkmap,,https://github.com/estokes/immutable-chunkmap,44408
sputnikvm,54352,SputnikVM - a Portable Blockchain Virtual Machine,2017-06-13 06:14:17.647742,2018-11-13 19:55:13.05858,,,https://github.com/ETCDEVTeam/sputnikvm,18791
ocl-core,54329,A low-level OpenCL API.,2016-08-04 17:55:40.202697,2022-08-23 23:31:43.270709,https://docs.rs/ocl-core/,https://github.com/cogciprocate/ocl/tree/master/ocl-core,https://github.com/cogciprocate/ocl/tree/master/ocl-core,5892
concurrent_lru,54321,A concurrent LRU cache,2021-02-14 05:15:03.794412,2021-02-14 14:34:05.744601,,https://github.com/ngkv/concurrent_lru,https://github.com/ngkv/concurrent_lru.git,354946
time-point,54313,"Less opaque, thin, type types",2019-09-16 20:36:25.797663,2019-09-16 20:37:22.127451,https://docs.rs/time-point,https://github.com/BrainiumLLC/time-point,https://github.com/BrainiumLLC/time-point,165290
fvm_sdk,54301,Filecoin Virtual Machine actor development SDK,2022-03-02 16:32:17.822808,2022-09-12 17:25:47.73437,,,https://github.com/filecoin-project/ref-fvm,542395
fvm_ipld_encoding,54294,Sharded IPLD encoding.,2022-04-04 23:02:37.989116,2022-06-14 00:32:07.253514,,,https://github.com/filecoin-project/ref-fvm,562339
ark-ed-on-bls12-381,54289,A Twisted Edwards curve defined over the scalar field of the BLS12-381 curve,2021-03-25 00:34:14.088496,2021-06-06 20:53:15.32254,https://docs.rs/ark-ed-on-bls12-381/,https://arkworks.rs,https://github.com/arkworks-rs/algebra,373145
evcxr_input,54287,Support for reading input from the user in Evcxr,2020-08-11 11:55:53.18913,2020-08-11 11:55:53.18913,,,https://github.com/google/evcxr,275330
git-date,54279,A WIP crate of the gitoxide project parsing dates the way git does,2022-04-14 12:59:54.609915,2022-09-20 09:44:27.600688,,,https://github.com/Byron/gitoxide,567516
arcstr,54266,"A better reference-counted string type, with zero-cost (allocation-free) support for string liter...",2020-08-14 09:01:07.382746,2022-06-04 18:53:44.356174,https://docs.rs/arcstr,https://github.com/thomcc/arcstr,https://github.com/thomcc/arcstr,276515
aio-limited,54265,Rate-limited async I/O.,2018-11-09 12:22:49.48374,2019-09-24 10:24:10.003991,,,https://github.com/paritytech/aio-limited,95658
delegate-attr,54250,Attribute proc-macro to delegate method to a field,2020-05-19 12:02:49.294156,2020-08-11 13:11:23.094896,,,https://github.com/upsuper/delegate-attr,243433
sawtooth-xo,54248,Sawtooth XO is a Sawtooth transaction handler for executing tic-tac-toe (or noughts and crosses) ...,2019-06-10 17:05:10.553492,2022-02-03 19:52:32.602385,,,,140248
weedle2,54236,A WebIDL Parser,2022-02-08 14:36:33.326848,2022-08-04 13:22:33.81094,https://docs.rs/weedle2,https://github.com/mozilla/uniffi-rs/tree/main/weedle2,https://github.com/mozilla/uniffi-rs,529132
enum_to_u8_slice_derive,54223,"A simple fork of enum_to_str_derive (by @DCjanus), convert enum to u8 slice ref",2018-04-05 21:08:31.6446,2020-07-09 19:15:38.850969,,,https://github.com/mesalock-linux/enum_to_u8_slice_derive,59152
blockchain-traits,54201,A minimal description of a programmable blockchain.,2019-05-31 19:16:37.219086,2020-03-31 23:45:08.666571,,,https://github.com/oasislabs/oasis-rs.git,138211
kitchensink,54199,Puppet utilities for Rust.,2016-09-10 18:55:15.625609,2017-04-12 21:58:45.569433,http://ajroetker.github.io/rust-kitchensink/index.html,,https://github.com/puppetlabs/rust-kitchensink,6321
td_revent,54185,"Event library for Rust, Async IO similar to libevent",2016-03-31 12:38:59.800639,2022-05-13 12:12:21.996553,,,https://github.com/tickbh/td_revent,4645
peroxide,54161,"Rust comprehensive scientific computation library contains linear algebra, numerical analysis, st...",2018-09-22 06:50:03.497845,2022-09-21 07:25:20.1124,https://peroxide.surge.sh,,https://github.com/Axect/Peroxide,85948
cstr-macro,54142,Macros for creating CStrings without allocations,2017-04-17 21:53:08.097653,2017-04-17 21:53:08.097653,,,,11029
async-scoped,54141,Spawn scoped (non 'static) asynchronous futures for async_std and tokio runtimes,2019-12-22 11:06:38.017495,2021-07-07 09:40:45.809078,https://docs.rs/async-scoped,https://github.com/rmanoka/async-scoped,https://github.com/rmanoka/async-scoped,191462
ncollide_math,54125,DEPRECATED: use ncollide2d or ncollide3d insead.,2015-06-06 11:17:00.856124,2019-04-27 10:28:21.9743,http://ncollide.org/rustdoc/ncollide_math,http://ncollide.org,https://github.com/sebcrozet/ncollide,2315
