name,downloads,description,created_at,updated_at,documentation,homepage,repository,id
tokio-tfo,43772,TCP Fast Open (TFO) in Rust for tokio,2021-10-22 11:14:11.621088,2022-05-08 13:20:48.476165,https://docs.rs/tokio-tfo,,https://github.com/zonyitoo/tokio-tfo,469288
must_future,43762,A wrapper future marked must_use - mainly to wrap BoxFutures,2020-04-03 23:20:15.841426,2020-06-11 14:51:18.385816,https://docs.rs/must_future,,https://github.com/neonphog/must_future,226086
tailscale-api,43753,An API client for Tailscale,2020-12-30 16:49:03.671527,2021-05-06 19:51:07.561803,https://docs.rs/tailscale-api,,https://github.com/oxidecomputer/cio,329334
alloc-cortex-m,43749,A heap allocator for Cortex-M processors,2016-11-19 15:53:55.367716,2022-01-04 19:11:53.113724,https://docs.rs/alloc-cortex-m,,https://github.com/rust-embedded/alloc-cortex-m,7307
libpijul,43745,"Core library of Pijul, a distributed version control system based on a sound theory of collaborat...",2016-02-02 07:49:43.168465,2022-05-05 09:19:32.453944,https://docs.rs/libpijul,,https://nest.pijul.com/pijul/libpijul,4056
can-dbc,43740,A parser for the DBC format. The DBC format is used to exchange CAN network data.,2018-12-09 20:37:26.637289,2022-06-22 19:08:20.870143,,https://github.com/marcelbuesing/can-dbc,https://github.com/marcelbuesing/can-dbc.git,100994
async-condvar-fair,43738,Condition variables for async Rust,2021-07-05 15:49:27.249502,2022-03-27 18:58:23.439189,,,https://salsa.debian.org/iwj/rust-async-condvar-fair,419048
srtparse,43725,A library for parsing SRT Subtitles,2016-12-03 15:38:43.971185,2020-03-30 04:34:58.362074,https://docs.rs/srtparse,https://docs.rs/srtparse,https://github.com/rossnomann/srtparse,7453
pgx-pg-sys,43694,"Generated Rust bindings for Postgres internals, for use with 'pgx'",2020-07-12 21:10:52.661319,2022-06-01 20:46:06.427633,https://docs.rs/pgx-pg-sys,https://github.com/zombodb/pgx,https://github.com/zombodb/pgx,264494
prometrics,43691,Client library for exposing prometheus metrics,2017-10-03 18:06:05.145025,2020-04-18 12:31:36.580893,,https://github.com/sile/prometrics,https://github.com/sile/prometrics,34303
av-format,43657,Multimedia format demuxing and muxing,2019-07-09 16:05:25.057506,2022-08-28 15:50:37.181884,,,https://github.com/rust-av/rust-av,147877
ion-shell,43641,The Ion Shell,2015-12-16 18:49:47.749344,2017-07-15 01:45:41.234678,,,https://github.com/redox-os/ion,3678
old_school_gfx_glutin_ext,43630,Extensions for glutin to initialize & update old school gfx,2020-01-31 23:44:51.254485,2022-08-13 19:25:31.8389,,,https://github.com/alexheretic/old-school-gfx-glutin-ext,203805
utoipa-gen,43628,Code generation implementation for utoipa,2022-01-27 20:52:51.260564,2022-09-24 15:56:24.972942,,,https://github.com/juhaku/utoipa,522747
bitcoin_scripts,43615,Bitcoin extended script types,2021-08-26 14:50:17.247455,2022-06-30 17:54:43.541736,,https://github.com/LNP-BP/descriptor-wallet/tree/master/scripts,https://github.com/LNP-BP/descriptor-wallet,442604
ngrammatic,43596,Character-oriented ngram generator and fuzzy matching library.,2017-11-06 05:17:24.374647,2022-05-02 18:42:46.217004,https://docs.rs/ngrammatic,https://github.com/compenguy/ngrammatic,https://github.com/compenguy/ngrammatic,38311
jsonrpc_client_macro,43585,Internal proc-macro crate for `jsonrpc_client`.,2021-01-10 23:28:01.118095,2021-04-26 02:43:21.544696,,,https://github.com/thomaseizinger/rust-jsonrpc-client,339643
utoipa,43518,Compile time generated OpenAPI documentation for Rust,2022-01-27 20:53:48.746764,2022-09-24 16:01:23.105635,,,https://github.com/juhaku/utoipa,522748
is_slice,43507,Macro to answer the question: is it a slice? ,2021-11-29 19:36:42.872791,2022-05-25 13:48:31.125344,https://docs.rs/is_slice,https://github.com/Wandalen/wTools/tree/master/module/rust/is_slice,https://github.com/Wandalen/wTools/tree/master/module/rust/is_slice,489463
icu_locale_canonicalizer,43502,API for Unicode Language and Locale Identifiers canonicalization,2021-04-29 18:33:58.027648,2022-05-17 16:40:35.935322,,,https://github.com/unicode-org/icu4x,391185
bls_ringct,43487,A pure-Rust implementation of Ring Confidential Transactions,2022-04-08 21:07:58.233419,2022-09-12 05:04:36.465272,,,https://github.com/maidsafe/bls_ringct,564432
gfx_window_sdl,43485,SDL2 window for gfx-rs,2016-03-31 01:21:07.295632,2019-04-25 15:09:56.341437,https://docs.rs/gfx_window_sdl,https://github.com/gfx-rs/gfx,https://github.com/gfx-rs/gfx,4631
git-url-parse,43464,A parser for git repo urls based on url crate,2020-01-22 06:55:30.492927,2022-05-30 02:03:43.486268,https://docs.rs/git-url-parse,,https://github.com/tjtelan/git-url-parse-rs,200968
ink_allocator,43457,[ink!] Bindings to the Wasm heap memory allocator.,2020-10-09 19:16:05.657206,2022-09-21 09:50:52.366077,https://docs.rs/ink_allocator/,https://www.parity.io/,https://github.com/paritytech/ink,297789
ink_env,43451,[ink!] Low-level interface for interacting with the smart contract Wasm executor.,2020-03-18 18:28:47.125558,2022-09-21 12:03:58.233009,https://docs.rs/ink_env/,https://www.parity.io/,https://github.com/paritytech/ink,220237
inspect_type,43443,Diagnostic-purpose tools to inspect type of a variable and its size. ,2021-11-30 06:29:07.025209,2022-05-25 17:40:58.578516,https://docs.rs/inspect_type,https://github.com/Wandalen/wTools/tree/master/module/rust/inspect_type,https://github.com/Wandalen/wTools/tree/master/module/rust/inspect_type,489667
bee-common,43418,Common utilities used across the bee framework,2020-06-25 21:16:00.389433,2022-01-10 16:24:17.686705,,https://www.iota.org,https://github.com/iotaledger/bee,258217
