name,downloads,description,created_at,updated_at,documentation,homepage,repository,id
multiaddr,1218381,Implementation of the multiaddr format,2015-12-28 18:05:49.540955,2022-02-02 14:53:18.177883,,https://github.com/multiformats/rust-multiaddr,,3784
id-arena,1214307,"A simple, id-based arena.",2018-11-12 04:23:09.528404,2019-02-16 00:52:19.034325,https://docs.rs/id-arena,,https://github.com/fitzgen/id-arena,96187
rls-analysis,1209911,Library for processing rustc's save-analysis data for the RLS,2017-04-09 20:37:06.271925,2022-01-25 10:10:51.364803,,,https://github.com/rust-lang/rls,10154
pnet_transport,1209198,"Cross-platform, transport layer networking.",2017-10-30 18:51:42.516976,2022-06-01 16:57:01.551724,,https://github.com/libpnet/libpnet,https://github.com/libpnet/libpnet,37498
actix-files,1208746,Static file serving for Actix Web,2019-03-28 20:40:12.661985,2022-07-23 15:52:02.444609,,https://actix.rs,https://github.com/actix/actix-web,124432
libp2p-pnet,1207839,Private swarm support for libp2p,2020-02-14 10:51:01.037659,2021-11-01 10:26:59.330871,,,https://github.com/libp2p/rust-libp2p,208586
gdk-pixbuf,1207750,Rust bindings for the GdkPixbuf library,2016-03-15 23:36:12.829819,2022-04-26 10:39:34.806722,https://gtk-rs.org/gtk-rs-core/stable/latest/docs/gdk_pixbuf/,https://gtk-rs.org/,https://github.com/gtk-rs/gtk-rs-core,4463
libp2p-swarm-derive,1203645,Procedural macros of libp2p-core,2021-02-15 19:12:04.421794,2022-09-07 07:46:20.066793,,,https://github.com/libp2p/rust-libp2p,355710
aes-ctr,1202655,DEPRECATED: replaced by the `aes` crate,2018-07-30 10:39:26.984009,2021-05-03 18:46:01.752833,,,https://github.com/RustCrypto/block-ciphers/tree/master/aes,76595
str-buf,1201851,Static string buffer,2020-06-05 13:06:17.916198,2022-05-27 01:27:02.236766,,,https://github.com/DoumanAsh/str-buf,250334
bytes-utils,1201772,Additional utilities for working with the bytes crate,2021-01-22 19:45:42.248518,2022-09-02 14:10:19.193085,https://docs.rs/bytes-utils,,https://github.com/vorner/bytes-utils,345419
core-graphics-types,1200117,Bindings for some fundamental Core Graphics types,2020-07-20 16:57:57.396676,2020-09-15 16:08:08.621559,,https://github.com/servo/core-foundation-rs,https://github.com/servo/core-foundation-rs,267305
run_script,1198862,Run shell scripts in rust.,2017-11-04 13:55:22.736976,2022-08-06 16:16:18.681039,https://sagiegurari.github.io/run_script/api/run_script/index.html,http://github.com/sagiegurari/run_script,https://github.com/sagiegurari/run_script.git,38117
cslice,1198817,A library of slices with a stable ABI for interfacing with C.,2016-04-05 18:01:38.370345,2017-02-01 22:16:47.552636,https://docs.rs/cslice,,https://github.com/dherman/cslice,4676
proc-macro-hack-impl,1192602,Procedural functionlike!() macros using only Macros 1.1,2016-12-30 22:31:45.790267,2021-03-19 03:29:27.828156,,,https://github.com/dtolnay/proc-macro-hack,7863
surf,1190636,Surf the web - HTTP client framework,2019-04-09 20:44:00.39744,2021-11-01 19:42:02.284631,https://docs.rs/surf,,https://github.com/http-rs/surf,126882
tonic-health,1189633,Health Checking module of `tonic` gRPC implementation. ,2020-04-01 18:46:23.203123,2022-09-07 14:36:08.519848,https://docs.rs/tonic-health/0.7.0/tonic-health/,https://github.com/hyperium/tonic,https://github.com/hyperium/tonic,225298
des,1188075,"DES and Triple DES (3DES, TDES) block ciphers implementation",2016-04-24 22:42:44.479281,2022-02-17 08:59:01.204995,https://docs.rs/des,,https://github.com/RustCrypto/block-ciphers,4842
serde-big-array,1178875,Big array helper for serde.,2018-12-09 19:57:17.985699,2022-03-25 15:53:20.406352,https://docs.rs/serde-big-array,,https://github.com/est31/serde-big-array,100987
syntect,1177799,library for high quality syntax highlighting and code intelligence using Sublime Text's grammars,2016-06-20 16:53:53.967155,2022-05-04 05:18:41.596888,https://docs.rs/syntect,,https://github.com/trishume/syntect,5436
