name,downloads,description,created_at,updated_at,documentation,homepage,repository,id
color-spantrace,1924739,A pretty printer for tracing_error::SpanTrace based on color-backtrace,2020-05-06 23:29:18.864517,2022-01-13 00:01:51.188366,https://docs.rs/color-spantrace,,https://github.com/yaahc/color-spantrace,238367
wasmtime-cranelift,1921861,Integration between Cranelift and Wasmtime,2020-09-23 18:55:05.358247,2022-09-20 15:57:07.472667,https://docs.rs/wasmtime-cranelift/,,https://github.com/bytecodealliance/wasmtime,292198
odds,1921001,"Odds and ends — collection miscellania. Extra functionality for slices (`.find()`, `RevSlice`), s...",2015-06-02 15:26:06.451758,2020-04-11 17:19:30.79695,https://docs.rs/odds/,,https://github.com/bluss/odds,2287
rw-stream-sink,1920020,Adaptator between Stream/Sink and AsyncRead/AsyncWrite,2019-01-02 13:41:11.634316,2022-05-31 11:15:39.729825,,,https://github.com/libp2p/rust-libp2p,105015
rental,1916501,"A macro to generate safe self-referential structs, plus premade types for common use cases.",2016-11-23 10:30:47.252592,2021-05-01 23:22:36.642491,https://docs.rs/rental,,https://github.com/jpernst/rental,7340
cssparser-macros,1912999,Procedural macros for cssparser,2017-02-25 16:53:34.899824,2019-10-22 16:31:36.338694,https://docs.rs/cssparser-macros/,,https://github.com/servo/rust-cssparser,8676
cached,1912968,Generic cache implementations and simplified function memoization,2017-03-28 00:36:06.017836,2022-09-02 00:59:39.719278,https://docs.rs/cached,,https://github.com/jaemk/cached,9176
hyper-openssl,1909152,Hyper TLS support via OpenSSL,2016-11-29 04:30:02.116223,2022-02-19 17:44:34.860446,,,https://github.com/sfackler/hyper-openssl,7405
block-cipher-trait,1907688,DEPRECATED: please switch to the `cipher` crate,2016-12-16 12:42:44.035187,2021-08-25 14:27:00.354249,,,https://github.com/RustCrypto/traits/tree/master/cipher,7634
rls-data,1906893,Data structures used by the RLS and Rust compiler,2017-03-15 18:52:04.609579,2021-01-15 00:10:35.65831,,,https://github.com/rust-lang/rls,8990
rustc-ap-rustc_errors,1906113,Automatically published version of the package `rustc_errors` in the rust-lang/rust repository fr...,2018-01-11 02:34:30.149257,2021-07-06 08:20:52.121785,,,https://github.com/rust-lang/rust,46318
bimap,1904634,Bijective maps,2017-09-10 20:49:54.744249,2022-01-23 18:02:46.858727,https://docs.rs/bimap/,,https://github.com/billyrieger/bimap-rs/,31327
parity-tokio-ipc,1903008,Interprocess communication library for tokio. ,2018-09-26 10:27:54.070702,2021-07-06 12:13:02.522041,,https://github.com/paritytech/parity-tokio-ipc,https://github.com/paritytech/parity-tokio-ipc,86608
human-panic,1891262,Panic messages for humans,2018-04-15 00:02:31.006288,2020-03-22 09:43:17.628115,https://docs.rs/human-panic,https://github.com/yoshuawuyts/human-panic,https://github.com/yoshuawuyts/human-panic,60643
ash,1890865,Vulkan bindings for Rust,2016-12-09 19:43:27.190795,2022-03-23 21:04:50.661216,https://docs.rs/ash,,https://github.com/MaikKlein/ash,7518
k8s-openapi,1889813,Bindings for the Kubernetes client API,2018-06-30 09:37:50.529047,2022-09-15 18:27:25.623364,https://arnavion.github.io/k8s-openapi/v0.16.x/k8s_openapi/,,https://github.com/Arnavion/k8s-openapi,72288
cassowary,1889488,A Rust implementation of the Cassowary linear constraint solving algorithm.  The Cassowary algori...,2016-04-30 17:13:30.674561,2017-09-13 20:04:34.589162,https://dylanede.github.io/cassowary-rs,https://github.com/dylanede/cassowary-rs,https://github.com/dylanede/cassowary-rs,4932
wildmatch,1888698,Simple string matching  with questionmark and star wildcard operator.,2020-01-02 13:32:02.176991,2022-06-28 20:30:59.309211,,,https://github.com/becheran/wildmatch,194477
alga,1887054,Abstract algebra for Rust,2016-09-11 09:25:10.288907,2020-03-02 08:54:17.641259,https://docs.rs/alga,,https://github.com/rustsim/alga,6332
tendermint-abci,1885224,    tendermint-abci provides a simple framework with which to build low-level     applications on...,2021-04-06 17:22:56.83668,2022-09-23 17:18:42.722186,,,https://github.com/informalsystems/tendermint-rs,379897
rustc-ap-rustc_lexer,1879612,Automatically published version of the package `rustc_lexer` in the rust-lang/rust repository fro...,2019-07-22 05:25:52.622716,2021-07-06 08:15:22.787779,,,https://github.com/rust-lang/rust,150705
napi-sys,1877895,NodeJS N-API raw binding,2017-11-30 02:04:20.893393,2022-05-10 14:28:17.462241,,,https://github.com/napi-rs/napi-rs,41044
tokio-retry,1873272,"Extensible, asynchronous retry behaviours for futures/tokio",2017-03-05 13:07:28.724889,2021-03-06 13:07:27.598743,https://docs.rs/tokio-retry,,https://github.com/srijs/rust-tokio-retry,8827
validator,1867779,"Common validation functions (email, url, length, ...) and trait - to be used with `validator_derive`",2016-12-28 02:54:16.372547,2022-07-25 12:25:28.888531,,https://github.com/Keats/validator,https://github.com/Keats/validator,7807
rental-impl,1865832,An implementation detail of rental. Should not be used directly.,2017-03-18 07:29:45.531779,2019-10-01 20:45:41.617257,https://docs.rs/rental,https://www.jpernst.com,https://github.com/jpernst/rental,9023
loom,1865269,Permutation testing for concurrent code,2018-12-07 19:58:42.545465,2022-05-19 19:51:34.578687,,https://github.com/tokio-rs/loom,https://github.com/tokio-rs/loom,100677
build-helper,1864484,This crate contains convenience methods for build scripts.,2017-05-10 11:17:31.866143,2017-05-12 04:38:27.486182,https://docs.rs/crate/build-helper/,,https://github.com/DanielKeep/rust-build-helper,13993
rocket_http,1860384,"Types, traits, and parsers for HTTP requests, responses, and headers. ",2018-10-31 21:29:01.634758,2022-05-26 01:49:38.324338,https://api.rocket.rs/v0.4/rocket_http/,https://rocket.rs,https://github.com/SergioBenitez/Rocket,93882
roxmltree,1850518,Represent an XML as a read-only tree.,2018-08-31 16:32:36.315456,2022-08-15 16:55:01.021867,https://docs.rs/roxmltree/,,https://github.com/RazrFalcon/roxmltree,82377
nonzero_ext,1850104,Extensions and additional traits for non-zero integer types,2018-09-15 15:04:43.714495,2021-08-21 15:57:43.150498,https://docs.rs/nonzero_ext,,https://github.com/antifuchs/nonzero_ext,84848
devise,1849617,A library for devising derives and other procedural macros.,2018-10-29 11:13:21.150242,2022-05-26 00:17:17.244564,,,https://github.com/SergioBenitez/Devise,93305
devise_codegen,1847809,A library for devising derives and other procedural macros.,2018-10-29 11:12:44.017103,2022-05-26 00:16:54.286878,,,https://github.com/SergioBenitez/Devise,93304
metadeps,1846917,Run pkg-config from declarative dependencies in Cargo.toml,2016-12-15 03:05:10.343135,2017-05-30 06:20:19.246889,http://docs.rs/metadeps,,https://github.com/joshtriplett/metadeps,7584
devise_core,1844092,A library for devising derives and other procedural macros.,2018-10-29 11:12:08.105331,2022-05-26 00:15:42.230747,,,https://github.com/SergioBenitez/Devise,93303
rkyv,1843516,Zero-copy deserialization framework for Rust,2020-11-11 16:36:21.012106,2022-06-26 22:51:46.673696,https://docs.rs/rkyv,,https://github.com/rkyv/rkyv,311298
libp2p,1842903,Peer-to-peer networking library,2018-08-08 18:03:31.75563,2022-09-07 08:13:27.966507,,,https://github.com/libp2p/rust-libp2p,78395
pretty-hex,1839856,Pretty hex dump of bytes slice in the common style.,2018-03-08 18:24:18.360087,2022-04-16 16:42:41.613052,https://docs.rs/pretty-hex,https://github.com/wolandr/pretty-hex,https://github.com/wolandr/pretty-hex,54572
rkyv_derive,1836626,Derive macro for rkyv,2020-11-11 16:14:18.106933,2022-06-26 22:51:18.700232,https://docs.rs/rkyv_derive,,https://github.com/rkyv/rkyv,311283
logos,1832609,Create ridiculously fast Lexers,2018-11-09 14:43:23.485073,2022-06-08 09:31:53.653484,https://docs.rs/logos,,https://github.com/maciejhirsz/logos,95665
logos-derive,1832337,Create ridiculously fast Lexers,2018-11-09 14:43:51.249509,2022-06-08 09:31:32.019581,https://docs.rs/logos-derive,,https://github.com/maciejhirsz/logos,95666
tower-make,1828885,Trait aliases for Services that produce specific types of Responses. ,2019-08-27 16:44:36.206282,2019-11-29 21:12:08.778591,https://docs.rs/tower-make/0.3.0,https://github.com/tower-rs/tower,https://github.com/tower-rs/tower,160128
askama,1826610,"Type-safe, compiled Jinja-like templates for Rust",2017-02-15 19:34:56.689248,2022-02-16 21:55:52.791018,https://docs.rs/askama,https://github.com/djc/askama,https://github.com/djc/askama,8529
wasmi-validation,1825992,Wasm code validator,2019-04-19 14:27:39.2104,2022-07-25 10:15:49.37687,,,https://github.com/paritytech/wasmi,128970
multihash-derive,1824739,Proc macro for deriving custom multihash tables.,2020-10-30 16:49:52.151769,2022-02-01 16:33:16.438371,,,https://github.com/multiformats/multihash,307027
