name,downloads,description,created_at,updated_at,documentation,homepage,repository,id
stm32-usbd,63593,'usb-device' implementation for STM32 microcontrollers,2019-06-05 13:38:35.526276,2021-03-12 04:54:50.246965,,,https://github.com/stm32-rs/stm32-usbd,139144
storage-proofs,63580,Implementations of Proofs of Storage,2019-06-04 14:39:26.344947,2020-12-01 16:23:31.578773,,,https://github.com/filecoin-project/rust-fil-proofs,138907
tink-proto,63558,Protocol buffer message definitions for Rust port of Google's Tink cryptography library,2021-01-21 11:13:54.112112,2022-03-25 08:20:30.851923,https://docs.rs/tink-proto,,https://github.com/project-oak/tink-rust,344842
serde_ipld_dagcbor,63513,IPLD DAG-CBOR support for Serde.,2022-03-09 14:49:40.894022,2022-05-19 12:04:45.436873,,,https://github.com/ipld/serde_ipld_dagcbor,546974
find-places-db,63473,Quick and dirty crate for finding a user's local places databases,2018-08-20 20:14:24.6144,2020-05-19 20:25:53.214976,,,,80471
tokio-metrics,63437,Runtime and task level metrics for Tokio applications. ,2022-02-17 22:23:55.336047,2022-02-18 02:58:11.433051,,https://tokio.rs,https://github.com/tokio-rs/tokio,534401
const-str,63420,compile-time string operations,2020-09-10 13:52:57.883156,2022-07-02 10:28:10.265787,,,https://github.com/Nugine/const-str,287038
prost-reflect,63409,A protobuf library extending prost with reflection support and dynamic messages.,2021-12-26 21:09:42.149089,2022-08-14 13:27:11.926647,https://docs.rs/prost-reflect,,https://github.com/andrewhickman/prost-reflect,503470
my_internet_ip,63358,Retrieve the public IP of the machine your app runs on.,2018-03-01 22:02:07.998728,2018-10-03 09:18:02.519773,,https://gitlab.com/philippludwig/my-internet-ip,https://gitlab.com/philippludwig/my-internet-ip.git,53366
arrayfire,63350,ArrayFire is a high performance software library for parallel computing with an easy-to-use API. ...,2015-11-14 03:08:36.437693,2021-01-10 07:24:27.409384,http://arrayfire.github.io/arrayfire-rust/arrayfire/index.html,https://github.com/arrayfire/arrayfire,https://github.com/arrayfire/arrayfire-rust,3409
alacritty_config_derive,63322,Failure resistant deserialization derive,2021-01-08 12:06:54.334328,2022-09-03 17:45:01.847587,,https://github.com/alacritty/alacritty,,334295
termbox-sys,63321,Low level bindings for the termbox library,2014-12-18 13:57:33.137572,2020-03-24 11:24:55.635192,,https://github.com/gchp/termbox-sys,https://github.com/gchp/termbox-sys,596
ifmt,63321,Inline expression interpolation for Rust.,2019-04-20 08:17:10.562007,2021-01-06 19:39:08.141659,,,https://github.com/ct-austin/ifmt,129070
derefable,63249,Automatically derive Deref/DerefMut implementations,2019-01-23 14:45:22.548142,2019-01-23 14:45:22.548142,,,,110219
juniper_rocket,63227,Juniper GraphQL integration with Rocket,2017-12-03 16:22:19.532754,2022-05-25 09:15:29.128945,https://docs.rs/juniper_rocket,,https://github.com/graphql-rust/juniper,41576
osmpbfreader,63200,Read OpenStreetMap PBF files in rust.,2016-04-18 13:56:13.291707,2022-02-01 09:01:16.81905,https://docs.rs/osmpbfreader,,https://github.com/TeXitoi/osmpbfreader-rs,4783
bolero-engine,63159,fuzz and property testing framework,2020-01-06 23:49:12.064159,2022-05-24 15:53:29.182167,,https://github.com/camshaft/bolero,https://github.com/camshaft/bolero,195972
rpki,63143,A library for validating and creating RPKI data.,2018-11-01 09:52:34.18532,2022-09-14 09:54:39.554787,https://docs.rs/rpki/,https://github.com/nlnetlabs/rpki-rs/,https://github.com/NLnetLabs/rpki-rs,93998
svgparser,63065,"Featureful, pull-based, zero-allocation SVG parser.",2016-08-26 12:26:57.943316,2018-04-21 15:06:43.54976,https://docs.rs/svgparser/,,https://github.com/RazrFalcon/svgparser,6126
ifmt-impl,63017,Implementation detail of the ifmt crate.,2019-05-08 03:17:29.489845,2021-01-06 19:37:28.388852,,,https://github.com/ct-austin/ifmt,132742
wasmer-win-exception-handler,63014,Wasmer runtime exception handling for Windows,2019-02-25 21:29:56.154867,2020-06-24 22:08:57.786502,,,https://github.com/wasmerio/wasmer,117213
tss-esapi-sys,62972,FFI wrapper around TSS 2.0 Enhanced System API,2021-03-23 10:07:34.533348,2022-02-04 09:51:13.430759,https://docs.rs/crate/tss-esapi-sys,,https://github.com/parallaxsecond/rust-tss-esapi,372537
selene-lib,62942,A library for linting Lua code. You probably want selene instead.,2019-11-07 00:19:08.075662,2022-09-19 23:54:23.724567,,,https://github.com/Kampfkarren/selene,178862
aws-sdk-autoscaling,62916,AWS SDK for Auto Scaling,2021-05-08 02:09:20.200241,2022-09-21 00:49:49.831992,,,https://github.com/awslabs/aws-sdk-rust,394640
hashmap_core,62906,Implementation of HashMap and HashSet for no_std environments.,2017-11-30 18:50:03.33541,2019-08-19 07:38:42.653054,https://docs.rs/hashmap_core/,,https://github.com/Amanieu/hashmap_core,41145
union-find,62893,Struct and methods for union-find operation.,2015-01-06 10:25:36.6256,2022-07-18 10:53:40.895352,https://gifnksm.github.io/union-find-rs,,https://github.com/gifnksm/union-find-rs,719
konst_proc_macros,62838,Implementation detail of the `konst` crate,2021-03-20 17:37:45.139827,2021-09-11 22:36:33.198127,https://docs.rs/konst/,,https://github.com/rodrimati1992/konst/,371435
