name,downloads,description,created_at,updated_at,documentation,homepage,repository,id
xid,58806,Globally unique sortable id generator. A Rust port of https://github.com/rs/xid.,2020-12-13 00:52:32.026911,2022-07-05 00:54:37.157788,,https://github.com/kazk/xid-rs,https://github.com/kazk/xid-rs,322289
deno_ops,58785,Proc macro for writing Deno Ops,2022-03-14 17:10:13.243361,2022-09-22 18:05:33.344281,,,,549997
stable-eyre,58767,A custom context for eyre that supports capturing Backtraces on stable ,2020-05-03 19:47:37.145027,2021-02-02 21:12:14.180216,https://docs.rs/stable-eyre,https://github.com/yaahc/stable-eyre,https://github.com/yaahc/stable-eyre,237208
hdwallet,58733,Hierarchical deterministic wallet (BIP-32),2018-12-20 15:15:34.420084,2022-05-10 16:00:16.986094,,,https://github.com/jjyr/hdwallet,102938
simulacrum,58716,Minimal library for creating mock objects by hand using stable Rust.,2017-12-17 08:44:56.880175,2018-03-29 20:44:50.097094,https://docs.rs/simulacrum,,https://github.com/pcsm/simulacrum/tree/master/simulacrum,43373
derive-syn-parse,58686,Derive macro for `syn::parse::Parse`,2020-10-11 19:24:49.763168,2021-03-20 23:34:00.503682,,,https://github.com/sharnoff/derive-syn-parse,298419
cosmwasm-bignumber,58678,Bignumber library for cosmwasm project,2020-12-08 09:19:00.224986,2021-08-06 01:38:32.535669,https://docs.terra.money,https://terra.money,https://github.com/terra-project/terra-cosmwasm,320753
pbjson-types,58672,Protobuf well known types with serde serialization support,2021-09-28 16:00:22.49769,2022-09-20 18:10:00.343655,,,https://github.com/influxdata/pbjson,457606
qemu-exit,58609,Exit QEMU with user-defined code,2019-12-03 22:54:18.694535,2022-01-15 21:13:47.965306,,https://github.com/andre-richter/qemu-exit,https://github.com/andre-richter/qemu-exit,186271
mach2,58590,A Rust interface to the user-space API of the Mach 3.0 kernel that underlies OSX.,2021-11-15 16:48:14.915464,2022-06-07 13:42:29.536728,,,https://github.com/JohnTitor/mach2,482241
sapp-linux,58540,Part of miniquad rendering library.  Orignally this was a sokol-app C code transpiled to rust wit...,2020-01-11 03:27:13.436989,2022-05-08 18:52:34.363769,,https://github.com/not-fl3/miniquad,,197398
swc_css_ast,58527,AST definitions of css,2021-08-19 05:27:01.05939,2022-09-24 03:37:07.200007,https://rustdoc.swc.rs/swc_css_ast/,,https://github.com/swc-project/swc.git,439482
formdata,58481,Parsing of multipart/form-data,2015-06-11 04:44:35.692922,2020-10-01 19:11:03.067299,https://mikedilger.github.io/formdata,,https://github.com/mikedilger/formdata,2357
pdqsort,58443,Pattern-defeating quicksort,2017-01-26 13:02:25.925167,2017-03-27 09:53:44.062068,https://docs.rs/pdqsort,,https://github.com/stjepang/pdqsort,8227
credibility,58440,A thin wrapper around assert to support table-driven tests,2018-05-08 18:21:21.083066,2018-05-19 22:27:31.003552,https://docs.rs/credibility,,https://github.com/antifuchs/credibility.git,64362
spaceapi,58439,SpaceAPI types and serialization/deserialization.,2015-11-14 22:13:13.584348,2021-07-06 18:36:39.233188,,,https://github.com/spaceapi-community/spaceapi-rs/,3420
display-link,58436,rusty bindings to apples CADisplayLink/CVDisplayLink interface,2018-12-03 22:51:44.044355,2019-09-16 21:14:25.985484,https://docs.rs/display-link,,http://github.com/BrainiumLLC/display-link,99925
